p_c,R,M,e(pc),col2(pc)
1.785050e-12,3.000000e+01,1.359265e-04,1.778172e-09,9.257933e+02
1.962504e-12,3.000000e+01,1.492019e-04,1.952217e-09,9.258631e+02
2.157599e-12,3.000000e+01,1.637911e-04,2.143564e-09,9.259398e+02
2.372088e-12,3.000000e+01,1.798235e-04,2.353933e-09,9.260241e+02
2.607900e-12,3.000000e+01,1.974410e-04,2.585215e-09,9.261167e+02
2.867154e-12,3.000000e+01,2.167995e-04,2.839489e-09,9.262186e+02
3.152182e-12,3.000000e+01,2.380698e-04,3.119041e-09,9.263307e+02
3.465543e-12,3.000000e+01,2.614394e-04,3.426383e-09,9.264538e+02
3.810057e-12,3.000000e+01,2.871137e-04,3.764279e-09,9.265892e+02
4.188819e-12,3.000000e+01,3.153182e-04,4.135765e-09,9.267381e+02
4.605234e-12,3.000000e+01,3.457901e-04,4.536149e-09,9.268839e+02
5.063046e-12,3.000000e+01,3.778946e-04,4.959498e-09,9.270069e+02
5.566369e-12,3.000000e+01,4.131579e-04,5.424932e-09,9.271420e+02
6.119728e-12,3.000000e+01,4.518871e-04,5.936636e-09,9.272906e+02
6.728097e-12,3.000000e+01,4.944187e-04,6.499209e-09,9.274539e+02
7.396945e-12,3.000000e+01,5.411208e-04,7.117707e-09,9.276335e+02
8.132284e-12,3.000000e+01,5.923960e-04,7.797691e-09,9.278310e+02
8.940724e-12,3.000000e+01,6.486847e-04,8.545274e-09,9.280481e+02
9.829531e-12,3.000000e+01,7.104679e-04,9.367174e-09,9.282867e+02
1.080670e-11,3.000000e+01,7.782711e-04,1.027078e-08,9.285491e+02
1.188100e-11,3.000000e+01,8.398728e-04,1.106164e-08,9.286459e+02
1.306211e-11,3.000000e+01,9.019137e-04,1.188648e-08,9.287101e+02
1.436062e-11,3.000000e+01,9.700292e-04,1.279332e-08,9.287807e+02
1.578823e-11,3.000000e+01,1.044804e-03,1.379031e-08,9.288583e+02
1.735776e-11,3.000000e+01,1.126877e-03,1.488641e-08,9.289437e+02
1.908331e-11,3.000000e+01,1.216946e-03,1.609148e-08,9.290375e+02
2.098040e-11,3.000000e+01,1.315771e-03,1.741634e-08,9.291406e+02
2.306609e-11,3.000000e+01,1.424185e-03,1.887290e-08,9.292540e+02
2.535912e-11,3.000000e+01,1.543090e-03,2.047427e-08,9.293786e+02
2.788010e-11,3.000000e+01,1.673472e-03,2.223483e-08,9.295157e+02
3.065169e-11,3.000000e+01,1.816401e-03,2.417041e-08,9.296663e+02
3.369881e-11,3.000000e+01,1.973040e-03,2.629841e-08,9.298320e+02
3.704884e-11,3.000000e+01,2.144652e-03,2.863795e-08,9.300141e+02
