p_c,R,M,e(pc),col2(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02
1.099270e-15,3.000000e+01,5.788113e-07,7.557394e-12,9.210357e+02
1.208396e-15,3.000000e+01,6.341614e-07,8.280131e-12,9.211551e+02
1.328353e-15,3.000000e+01,6.950054e-07,9.074615e-12,9.212863e+02
1.460220e-15,3.000000e+01,7.618886e-07,9.947967e-12,9.214305e+02
1.605176e-15,3.000000e+01,8.354103e-07,1.090802e-11,9.215891e+02
1.764523e-15,3.000000e+01,9.162293e-07,1.196337e-11,9.217633e+02
1.939688e-15,3.000000e+01,1.005070e-06,1.312349e-11,9.219549e+02
2.132242e-15,3.000000e+01,1.102728e-06,1.439878e-11,9.221655e+02
2.343910e-15,3.000000e+01,1.210078e-06,1.580066e-11,9.223970e+02
2.576591e-15,3.000000e+01,1.328083e-06,1.734171e-11,9.226515e+02
2.832371e-15,3.000000e+01,1.457798e-06,1.903575e-11,9.229313e+02
3.113541e-15,3.000000e+01,1.600387e-06,2.089794e-11,9.232388e+02
3.422624e-15,3.000000e+01,1.757126e-06,2.294500e-11,9.235769e+02
3.762390e-15,3.000000e+01,1.929419e-06,2.519528e-11,9.239485e+02
4.135884e-15,3.000000e+01,2.118809e-06,2.766893e-11,9.243570e+02
4.546455e-15,3.000000e+01,2.326992e-06,3.038815e-11,9.248061e+02
4.997783e-15,3.000000e+01,2.474964e-06,3.231431e-11,9.250937e+02
5.493916e-15,3.000000e+01,2.512231e-06,3.280091e-11,9.250939e+02
6.039299e-15,3.000000e+01,2.553198e-06,3.333582e-11,9.250941e+02
6.638823e-15,3.000000e+01,2.598232e-06,3.392383e-11,9.250944e+02
7.297862e-15,3.000000e+01,2.647737e-06,3.457021e-11,9.250946e+02
8.022324e-15,3.000000e+01,2.702155e-06,3.528075e-11,9.250949e+02
8.818704e-15,3.000000e+01,2.761976e-06,3.606183e-11,9.250952e+02
9.694140e-15,3.000000e+01,2.827735e-06,3.692045e-11,9.250956e+02
1.065648e-14,3.000000e+01,2.900022e-06,3.786431e-11,9.250959e+02
1.171436e-14,3.000000e+01,2.979484e-06,3.890186e-11,9.250963e+02
1.287725e-14,3.000000e+01,3.066835e-06,4.004241e-11,9.250968e+02
1.415558e-14,3.000000e+01,3.162857e-06,4.129618e-11,9.250973e+02
1.556081e-14,3.000000e+01,3.268410e-06,4.267442e-11,9.250979e+02
1.710553e-14,3.000000e+01,3.384441e-06,4.418947e-11,9.250985e+02
1.880361e-14,3.000000e+01,3.511991e-06,4.585493e-11,9.250991e+02
2.067025e-14,3.000000e+01,3.652202e-06,4.768571e-11,9.250999e+02
2.272220e-14,3.000000e+01,3.806331e-06,4.969824e-11,9.251007e+02
2.497784e-14,3.000000e+01,3.975759e-06,5.191055e-11,9.251016e+02
2.745740e-14,3.000000e+01,4.162006e-06,5.434248e-11,9.251025e+02
3.018311e-14,3.000000e+01,4.366741e-06,5.701583e-11,9.251036e+02
3.317940e-14,3.000000e+01,4.591798e-06,5.995456e-11,9.251048e+02
3.647313e-14,3.000000e+01,4.839195e-06,6.318502e-11,9.251061e+02
4.009384e-14,3.000000e+01,5.111149e-06,6.673617e-11,9.251075e+02
4.407397e-14,3.000000e+01,5.410098e-06,7.063985e-11,9.251091e+02
4.844921e-14,3.000000e+01,5.738721e-06,7.493104e-11,9.251108e+02
5.325879e-14,3.000000e+01,6.099962e-06,7.964823e-11,9.251127e+02
5.854581e-14,3.000000e+01,6.497060e-06,8.483369e-11,9.251148e+02
6.435768e-14,3.000000e+01,6.933572e-06,9.053391e-11,9.251170e+02
7.074650e-14,3.000000e+01,7.413411e-06,9.680000e-11,9.251195e+02
7.776953e-14,3.000000e+01,7.940876e-06,1.036881e-10,9.251223e+02
8.548975e-14,3.000000e+01,8.520693e-06,1.112600e-10,9.251253e+02
9.397636e-14,3.000000e+01,9.158058e-06,1.195836e-10,9.251287e+02
1.033054e-13,3.000000e+01,9.858681e-06,1.287335e-10,9.251323e+02
1.135606e-13,3.000000e+01,1.062884e-05,1.387917e-10,9.251364e+02
1.248338e-13,3.000000e+01,1.147543e-05,1.498483e-10,9.251408e+02
1.372261e-13,3.000000e+01,1.240604e-05,1.620026e-10,9.251457e+02
1.508486e-13,3.000000e+01,1.342900e-05,1.753634e-10,9.251510e+02
1.658234e-13,3.000000e+01,1.455348e-05,1.900505e-10,9.251569e+02
1.822848e-13,3.000000e+01,1.578954e-05,2.061957e-10,9.251634e+02
2.003803e-13,3.000000e+01,1.714825e-05,2.239435e-10,9.251705e+02
2.202722e-13,3.000000e+01,1.864178e-05,2.434533e-10,9.251783e+02
2.421387e-13,3.000000e+01,2.028350e-05,2.648997e-10,9.251869e+02
2.661759e-13,3.000000e+01,2.208811e-05,2.884752e-10,9.251964e+02
2.925993e-13,3.000000e+01,2.407175e-05,3.143910e-10,9.252067e+02
3.216457e-13,3.000000e+01,2.625217e-05,3.428795e-10,9.252182e+02
3.535757e-13,3.000000e+01,2.864889e-05,3.741960e-10,9.252307e+02
3.886753e-13,3.000000e+01,3.128333e-05,4.086214e-10,9.252445e+02
4.272592e-13,3.000000e+01,3.417907e-05,4.464642e-10,9.252597e+02
4.696735e-13,3.000000e+01,3.736199e-05,4.880636e-10,9.252763e+02
5.162982e-13,3.000000e+01,4.086053e-05,5.337926e-10,9.252947e+02
5.675513e-13,3.000000e+01,4.470597e-05,5.840612e-10,9.253148e+02
6.238924e-13,3.000000e+01,4.893265e-05,6.393200e-10,9.253370e+02
6.858265e-13,3.000000e+01,5.357831e-05,7.000643e-10,9.253613e+02
7.539088e-13,3.000000e+01,5.868442e-05,7.668388e-10,9.253881e+02
8.287496e-13,3.000000e+01,6.429655e-05,8.402419e-10,9.254175e+02
9.110200e-13,3.000000e+01,7.046473e-05,9.209319e-10,9.254498e+02
1.001457e-12,3.000000e+01,7.724396e-05,1.009632e-09,9.254853e+02
1.100872e-12,3.000000e+01,8.469462e-05,1.107137e-09,9.255244e+02
1.210157e-12,3.000000e+01,9.288304e-05,1.214322e-09,9.255674e+02
1.330289e-12,3.000000e+01,1.018821e-04,1.332147e-09,9.256146e+02
1.462348e-12,3.000000e+01,1.117717e-04,1.461669e-09,9.256665e+02
1.607516e-12,3.000000e+01,1.226399e-04,1.604048e-09,9.257236e+02
1.767095e-12,3.000000e+01,1.345829e-04,1.760561e-09,9.257863e+02
1.942515e-12,3.000000e+01,1.477067e-04,1.932612e-09,9.258552e+02
2.135349e-12,3.000000e+01,1.621276e-04,2.121742e-09,9.259310e+02
2.347326e-12,3.000000e+01,1.779730e-04,2.329647e-09,9.260143e+02
2.580346e-12,3.000000e+01,1.953829e-04,2.558191e-09,9.261059e+02
2.836498e-12,3.000000e+01,2.145110e-04,2.809422e-09,9.262066e+02
3.118079e-12,3.000000e+01,2.355256e-04,3.085593e-09,9.263173e+02
3.427612e-12,3.000000e+01,2.586114e-04,3.389180e-09,9.264389e+02
3.767873e-12,3.000000e+01,2.839710e-04,3.722905e-09,9.265726e+02
4.141911e-12,3.000000e+01,3.118265e-04,4.089758e-09,9.267197e+02
4.553080e-12,3.000000e+01,3.421310e-04,4.487921e-09,9.268699e+02
5.005067e-12,3.000000e+01,3.738303e-04,4.905883e-09,9.269913e+02
5.501922e-12,3.000000e+01,4.086446e-04,5.365337e-09,9.271247e+02
6.048100e-12,3.000000e+01,4.468762e-04,5.870400e-09,9.272714e+02
6.648498e-12,3.000000e+01,4.888567e-04,6.425601e-09,9.274326e+02
7.308497e-12,3.000000e+01,5.349484e-04,7.035917e-09,9.276098e+02
8.034015e-12,3.000000e+01,5.855479e-04,7.706820e-09,9.278046e+02
8.831556e-12,3.000000e+01,6.410888e-04,8.444324e-09,9.280188e+02
