pressure,epsilon,muB,phase_index
4.336243e-18,3.056268e-13,919.8381501115539,0
1.7896789259451112e-26,1.3130402079498342e-17,922.792382275659,0
4.925656040877466e-13,1.0624027604956626e-09,925.746614439764,0
1.3869011549536856e-11,1.2781995883161927e-08,928.7008466038692,0
1.4034611402205329e-10,8.599506904462974e-08,931.6550787679744,0
8.461856832421909e-10,6.422792763550707e-07,934.6093109320793,0
5.293194450444205e-09,5.001346093645853e-06,937.5635430961844,0
9.991247269764766e-09,9.514119457949062e-06,940.5177752602895,0
3.5192198398643773e-08,2.5337307896692962e-05,943.4720074243946,0
1.6027622315560865e-07,5.199894202348834e-05,946.4262395884998,0
3.5703821641436e-07,7.260574976777281e-05,949.3804717526049,0
6.146632137639296e-07,9.091329820696142e-05,952.3347039167099,0
9.272274493655493e-07,0.00010793318320618857,955.2889360808151,0
1.2859127656375565e-06,0.00012392824771012003,958.2431682449203,0
1.694100256176979e-06,0.00013897736614112098,961.1974004090252,0
2.150017806391133e-06,0.00015319523737294943,964.1516325731303,0
2.649836015023057e-06,0.00016711325134687087,967.1058647372354,0
3.1893858982296605e-06,0.00018023967757527947,970.0600969013406,0
3.765459116302993e-06,0.00019258004550456607,973.0143290654457,0
4.3790197936640756e-06,0.00020428584056276855,975.9685612295508,0
5.026901948857324e-06,0.00021540508341242045,978.9227933936559,0
5.711373605153388e-06,0.00022574496896792732,981.877025557761,0
6.424674353844665e-06,0.00023559418333180112,984.8312577218662,0
7.1640048410432415e-06,0.0002450349510866419,987.7854898859712,0
7.92725661084323e-06,0.00025411783134363986,990.7397220500762,0
8.727360556789738e-06,0.00026265870117340854,993.6939542141813,0
9.545933127231558e-06,0.0002709708669132258,996.6481863782865,0
1.0387613262572083e-05,0.0002790002054014937,999.6024185423917,0
1.125926272266649e-05,0.0002866760830363807,1002.5566507064967,0
1.2140433607719558e-05,0.00029424102985559227,1005.5108828706018,0
1.305951456464274e-05,0.00030139893060653164,1008.465115034707,0
1.3985356211028485e-05,0.00030849279223519536,1011.4193471988121,0
1.4944562446520183e-05,0.0003152706152389128,1014.3735793629171,0
1.5910788368828063e-05,0.0003219843342887528,1017.3278115270222,0
1.6907201745855996e-05,0.00032842238075436703,1020.2820436911272,0
1.790732987672678e-05,0.00033483274018584856,1023.2362758552324,0
1.8944393689492522e-05,0.00034096780829828265,1026.1905080193376,0
1.9981457502258263e-05,0.00034710287641071674,1029.1447401834425,0
2.105188501360251e-05,0.0003529882471280589,1032.0989723475477,0
2.2126977748428006e-05,0.0003588387028269702,1035.053204511653,0
2.322370522477495e-05,0.0003645552133462632,1038.0074366757578,0
2.433886847964557e-05,0.0003701575841304789,1040.961668839863,0
2.545723956233699e-05,0.0003757409825499647,1043.915901003968,0
2.6611188293079614e-05,0.00038111396066238784,1046.8701331680732,0
2.7765137023822243e-05,0.000386486938774811,1049.8243653321783,0
2.8938504169015303e-05,0.0003917552374020148,1052.7785974962835,0
3.01311280907366e-05,0.0003969197278908608,1055.7328296603887,0
3.1323752012457885e-05,0.0004020842183797068,1058.6870618244936,0
3.25478723745962e-05,0.00040709669212808495,1061.6412939885988,0
3.3780011106599695e-05,0.0004120704654254073,1064.5955261527038,0
3.5012149838603266e-05,0.00041704423872273,1067.549758316809,0
3.628233331997674e-05,0.00042185615994032863,1070.5039904809141,0
3.755382270507208e-05,0.00042666252550999144,1073.458222645019,0
3.882587112741204e-05,0.0004314666573716026,1076.4124548091243,0
4.013569545295828e-05,0.0004361198505614826,1079.3666869732294,0
4.1445519778504506e-05,0.00044077304375136255,1082.3209191373344,0
4.2755344104050755e-05,0.00044542623694124247,1085.2751513014396,0
4.410264730721852e-05,0.00044994793773853127,1088.2293834655447,0
4.5452369883950615e-05,0.00045446115030888396,1091.1836156296497,0
4.68020924606828e-05,0.0004589743628792368,1094.1378477937549,0
4.818010605283505e-05,0.00046339456731455054,1097.0920799578598,0
4.956794903628271e-05,0.00046778245713197634,1100.046312121965,0
5.095579201973037e-05,0.00047217034694940226,1103.0005442860702,0
5.236071662077915e-05,0.00047651084867290146,1105.9547764501754,0
5.378886221977651e-05,0.00048078693033633637,1108.9090086142805,0
5.521700781877388e-05,0.00048506301199977134,1111.8632407783855,0
5.664515341777124e-05,0.0004893390936632063,1114.8174729424907,0
5.811142318370586e-05,0.0004935173153289737,1117.7717051065956,0
5.957812399459959e-05,0.0004976944305559112,1120.7259372707008,0
6.104482480549316e-05,0.0005018715457828483,1123.680169434806,0
6.252838924183283e-05,0.0005060086593578315,1126.634401598911,0
6.403347850144896e-05,0.0005100947146066066,1129.588633763016,0
6.553856776106509e-05,0.0005141807698553817,1132.5428659271213,0
6.704365702068123e-05,0.0005182668251041571,1135.4970980912262,0
