muB,pressure,epsilon,eos
1348.3647294589177,0.0005584146160320641,0.0025199317555110222,v0.00d1.40
1350.072144288577,0.0005623040240480961,0.0025303463486973945,v0.00d1.40
1351.7795591182364,0.0005662379931863728,0.002540862601202405,v0.00d1.40
1353.4869739478959,0.0005701719623246495,0.0025513788537074155,v0.00d1.40
1355.194388777555,0.0005741059314629259,0.002561895106212425,v0.00d1.40
1356.9018036072143,0.0005780645949899798,0.002572468022044088,v0.00d1.40
1358.6092184368738,0.0005820453188376753,0.0025830915571142285,v0.00d1.40
1360.3166332665332,0.0005860260426853709,0.002593715092184369,v0.00d1.40
1362.0240480961925,0.0005900074290581162,0.0026043401583166325,v0.00d1.40
1363.7314629258517,0.0005940351921843685,0.0026150723987975943,v0.00d1.40
1365.4388777555112,0.0005980629553106216,0.002625804639278558,v0.00d1.40
1367.1462925851704,0.0006020907184368739,0.0026365368797595192,v0.00d1.40
1368.8537074148296,0.000606142129258517,0.002647323899799599,v0.00d1.40
1370.561122244489,0.0006102171877755512,0.002658165699398798,v0.00d1.40
1372.2685370741483,0.0006142922462925855,0.0026690074989979967,v0.00d1.40
1373.9759519038075,0.0006183673048096194,0.0026798492985971945,v0.00d1.40
1375.6833667334668,0.0006224893012024048,0.002690800517034068,v0.00d1.40
1377.3907815631262,0.0006266119681362727,0.0027017532985971946,v0.00d1.40
1379.0981963927857,0.0006307346350701406,0.002712706080160321,v0.00d1.40
1380.805611222445,0.0006348798859719439,0.00272371149498998,v0.00d1.40
1382.5130260521041,0.0006390504174348695,0.00273477582765531,v0.00d1.40
1384.2204408817636,0.0006432209488977955,0.002745840160320641,v0.00d1.40
1385.927855711423,0.0006473914803607216,0.002756904492985972,v0.00d1.40
1387.6352705410823,0.0006516081264529058,0.0027680772985971946,v0.00d1.40
1389.3426853707415,0.0006558268070140277,0.0027792548897795583,v0.00d1.40
1391.0501002004007,0.0006600454875751502,0.0027904324809619237,v0.00d1.40
1392.7575150300602,0.0006642856436873748,0.0028016605731462927,v0.00d1.40
1394.4649298597194,0.0006685527294589177,0.0028129519919839674,v0.00d1.40
1396.1723446893789,0.0006728198152304611,0.002824243410821644,v0.00d1.40
1397.879759519038,0.0006770869010020044,0.0028355348296593198,v0.00d1.40
1399.5871743486973,0.0006813992741482967,0.0028469336472945893,v0.00d1.40
1401.2945891783565,0.0006857150781563125,0.0028583406012024043,v0.00d1.40
1403.002004008016,0.0006900308821643288,0.0028697475551102206,v0.00d1.40
1404.7094188376755,0.000694367034669339,0.0028812027494989987,v0.00d1.40
1406.4168336673347,0.000698731813026052,0.0028927258076152304,v0.00d1.40
1408.124248496994,0.0007030965913827653,0.0029042488657314625,v0.00d1.40
1409.8316633266534,0.0007074613697394789,0.002915771923847695,v0.00d1.40
1411.5390781563128,0.0007118706018036075,0.0029274009218436883,v0.00d1.40
1413.246492985972,0.000716284695991984,0.0029390415070140283,v0.00d1.40
1414.9539078156313,0.0007206987901803605,0.0029506820921843683,v0.00d1.40
1416.6613226452905,0.0007251320737474951,0.0029623685290581163,v0.00d1.40
1418.36873747495,0.0007295957114228459,0.0029741274949899804,v0.00d1.40
1420.0761523046092,0.0007340593490981963,0.0029858864609218433,v0.00d1.40
1421.7835671342684,0.0007385229867735468,0.0029976454268537066,v0.00d1.40
1423.4909819639279,0.0007430301859719443,0.0030095090100200404,v0.00d1.40
1425.198396793587,0.0007475437086172346,0.0030213877795591186,v0.00d1.40
1426.9058116232463,0.000752057231262525,0.003033266549098196,v0.00d1.40
1428.6132264529058,0.0007565887725450904,0.003045188653306613,v0.00d1.40
1430.3206412825652,0.0007611524647294591,0.0030571880801603213,v0.00d1.40
1432.0280561122245,0.0007657161569138276,0.003069187507014028,v0.00d1.40
1433.7354709418837,0.0007702798490981962,0.003081186933867735,v0.00d1.40
1435.4428857715432,0.0007748861785571142,0.0030932895270541086,v0.00d1.40
1437.1503006012026,0.0007795003248496996,0.003105411034068137,v0.00d1.40
1438.8577154308618,0.0007841144711422846,0.003117532541082165,v0.00d1.40
1440.565130260521,0.0007887454206412824,0.0031296947374749497,v0.00d1.40
1442.2725450901803,0.0007934103340681363,0.0031419391783567134,v0.00d1.40
1443.9799599198398,0.0007980752474949902,0.003154183619238478,v0.00d1.40
1445.687374749499,0.0008027401609218436,0.003166428060120241,v0.00d1.40
1447.3947895791582,0.0008074467785571139,0.003178774088176352,v0.00d1.40
1449.1022044088177,0.0008121627436873747,0.003191142885771543,v0.00d1.40
1450.809619238477,0.0008168787088176354,0.0032035116833667335,v0.00d1.40
1452.5170340681361,0.0008216102280561123,0.0032159183967935866,v0.00d1.40
1454.2244488977956,0.0008263775579158318,0.0032284124048096194,v0.00d1.40
1455.931863727455,0.0008311448877755514,0.003240906412825652,v0.00d1.40
1457.6392785571143,0.0008359122176352707,0.0032534004208416836,v0.00d1.40
1459.3466933867735,0.0008407203298597193,0.003265994084168336,v0.00d1.40
1461.054108216433,0.0008455393659318638,0.003278614440881764,v0.00d1.40
1462.7615230460924,0.0008503584020040083,0.003291234797595191,v0.00d1.40
1464.4689378757516,0.0008551917094188376,0.003303890168336674,v0.00d1.40
