pressure,epsilon,muB
4.336243e-18,3.056268e-13,919.8381501115539
1.1938574730577946e-25,2.9753408853623375e-17,921.602001514136
9.15628509744542e-19,1.1747257068244507e-13,923.3658529167179
4.506976279910481e-15,3.070653046498879e-11,925.1297043193001
2.6914148941965034e-12,2.712266532963126e-09,926.893555721882
1.2659733745581999e-11,1.179821744144425e-08,928.6574071244642
5.327123456764009e-11,3.896761804649744e-08,930.4212585270461
2.1898053795280608e-10,1.260570765381767e-07,932.1851099296282
6.292190118390405e-10,3.0208404190359956e-07,933.9489613322103
2.350017168108369e-09,2.174240363474792e-06,935.7128127347924
5.155032682951247e-09,4.868633080768862e-06,937.4766641373743
7.960048197794398e-09,7.563025798063194e-06,939.2405155399565
1.0765063712637544e-08,1.0257418515357524e-05,941.0043669425386
1.984160170876528e-08,1.651251303109641e-05,942.7682183451205
7.027416583881828e-08,3.652611449661611e-05,944.5320697477027
1.524982431431194e-07,5.1041851091234064e-05,946.2959211502846
2.6051741495620596e-07,6.384967431138587e-05,948.0597725528668
3.904023361722702e-07,7.551189707044212e-05,949.8236239554487
5.424973251906799e-07,8.64491175477014e-05,951.5874753580308
7.164720682078415e-07,9.690760107962551e-05,953.3513267606129
9.077082438597993e-07,0.0001069592385333976,955.115178163195
1.1149943949011835e-06,0.00011665369920929368,956.8790295657769
1.3372579984511992e-06,0.0001260364563873946,958.6428809683591
1.5823087881095855e-06,0.00013499830053705282,960.4067323709412
1.8422222377717264e-06,0.00014366822571813638,962.1705837735232
2.1139827833718758e-06,0.000152158702906682,963.9344351761054
2.406621768761136e-06,0.0001605763579853926,965.6982865786872
2.7136371555655317e-06,0.0001687260378609172,967.4621379812694
3.0298192207317425e-06,0.0001767033330593429,969.2259893838514
3.3672480317767377e-06,0.00018418148917670357,970.9898407864334
3.7119611589980175e-06,0.00019153651619582116,972.7536921890155
4.074006807795229e-06,0.00019859856612549823,974.5175435915976
4.447575350453752e-06,0.00020546437954122542,976.2813949941795
4.834112318871376e-06,0.0002121093388301177,978.0452463967617
5.232251498535474e-06,0.0002185071707275284,979.8090977993438
5.6409215772295505e-06,0.0002246806942106235,981.5729492019258
6.0591652750101744e-06,0.0002306912746838935,983.336800604508
6.490561863022213e-06,0.00023647799294759998,985.1006520070898
6.9260599135801416e-06,0.00024220334902632336,986.864503409672
7.381766381420552e-06,0.00024762636596976077,988.628354812254
7.837472849261007e-06,0.00025304938291319874,990.392206214836
8.31028708539113e-06,0.0002582207840833157,992.1560576174181
8.788638899846354e-06,0.00026331074026136967,993.9199090200002
9.271161841891835e-06,0.00026834964352418086,995.6837604225822
9.773694684531712e-06,0.0002731436336940862,997.4476118251644
1.0276227527171587e-05,0.0002779376238639915,999.2114632277464
1.0788282808588494e-05,0.00028261930555300614,1000.9753146303284
1.1313622484672667e-05,0.00028714430992231906,1002.7391660329106
1.183896216075679e-05,0.0002916693142916315,1004.5030174354924
1.2375625788905446e-05,0.00029607273170693005,1006.2668688380746
1.2924371501802516e-05,0.0003003464219850641,1008.0307202406566
1.3473117214699643e-05,0.00030462011226319854,1009.7945716432387
1.4030512587456118e-05,0.00030881187056849965,1011.5584230458207
1.4603215465853676e-05,0.0003128586319425104,1013.3222744484028
1.5175918344251179e-05,0.0003169053933165209,1015.0861258509848
1.5749622815267907e-05,0.0003209430081219247,1016.849977253567
1.634454055869268e-05,0.00032478690279826017,1018.613828656149
1.6939458302117402e-05,0.00032863079747459515,1020.377680058731
1.7534376045542177e-05,0.00033247469215093057,1022.1415314613132
1.8142215500809824e-05,0.000336222277921755,1023.905382863895
1.876140395963839e-05,0.00033988527659414673,1025.6692342664774
1.9380592418466894e-05,0.000343548275266538,1027.4330856690592
1.999978087729546e-05,0.0003472112739389297,1029.1969370716413
2.0637681543755327e-05,0.0003507342285004755,1030.9607884742236
2.1279575519208012e-05,0.00035422729672160294,1032.7246398768054
2.19214694946607e-05,0.00035772036494273045,1034.4884912793873
2.2563363470113447e-05,0.0003612134331638583,1036.2523426819696
2.3227010970549918e-05,0.0003645718207922751,1038.0161940845517
2.3892829417424496e-05,0.00036791676764025456,1039.7800454871335
2.4558647864299142e-05,0.0003712617144882344,1041.5438968897158
2.5224466311173724e-05,0.00037460666133621386,1043.3077482922977
2.590866550431353e-05,0.00037784289716800756,1045.0715996948798
2.6597641175203164e-05,0.0003810508830178639,1046.8354510974618
2.7286616846092864e-05,0.00038425886886772067,1048.599302500044
2.7975592516982567e-05,0.00038746685471757736,1050.363153902626
2.8675456313899046e-05,0.00039061614558847936,1052.127005305208
2.93875233621969e-05,0.00039369965199093966,1053.8908567077901
3.009959041049482e-05,0.00039678315839340023,1055.6547081103722
3.081165745879274e-05,0.0003998666647958608,1057.4185595129543
3.152372450709059e-05,0.00040295017119832105,1059.1824109155364
3.225799148724641e-05,0.0004059265302141258,1060.9462623181184
3.299365121535663e-05,0.0004088961671685947,1062.7101137207003
3.372931094346693e-05,0.00041186580412306385,1064.4739651232826
3.4464970671577154e-05,0.00041483544107753285,1066.2378165258644
3.5205343974926124e-05,0.0004177850252791794,1068.0016679284465
3.596449837129296e-05,0.00042065470991479445,1069.7655193310288
3.672365276765972e-05,0.0004235243945504092,1071.5293707336107
3.748280716402656e-05,0.00042639407918602424,1073.2932221361928
3.824196156039332e-05,0.000429263763821639,1075.0570735387748
3.90069754163566e-05,0.00043211003620305274,1076.820924941357
3.978901804043402e-05,0.0004348882678647951,1078.5847763439388
4.057106066451153e-05,0.0004376664995265378,1080.348627746521
4.1353103288588954e-05,0.0004404447311882802,1082.112479149103
4.213514591266646e-05,0.0004432229628500228,1083.876330551685
4.2919699068436765e-05,0.000445992386462007,1085.640181954267
4.3725563309234164e-05,0.0004486870414113006,1087.4040333568491
4.453142755003156e-05,0.00045138169636059424,1089.1678847594312
4.533729179082888e-05,0.0004540763513098876,1090.9317361620133
4.6143156031626274e-05,0.0004567710062591812,1092.6955875645954
4.69490202724236e-05,0.0004594656612084746,1094.4594389671774
4.777196496338794e-05,0.00046210416331941763,1096.2232903697595
4.860058934256202e-05,0.00046472399316992163,1097.9871417723416
