muB,pressure,epsilon,eos
786.0,3.026585e-06,0.000306583,v0.00d1.70
788.0200400801602,3.8140952685370437e-06,0.00030989943446893775,v0.00d1.70
790.0400801603207,4.601605537074154e-06,0.0003132158689378758,v0.00d1.70
792.060120240481,5.389795164328632e-06,0.0003165246871743486,v0.00d1.70
794.0801603206413,6.200131885771554e-06,0.000319585216232465,v0.00d1.70
796.1002004008016,7.010468607214409e-06,0.0003226457452905811,v0.00d1.70
798.1202404809619,7.822071581162343e-06,0.0003256957913827656,v0.00d1.70
800.1402805611222,8.653681344689364e-06,0.0003285802066132264,v0.00d1.70
802.1603206412826,9.485291108216456e-06,0.00033146462184368745,v0.00d1.70
804.1803607214429,1.0318681362725442e-05,0.000334337629258517,v0.00d1.70
806.2004008016033,1.1170232625250532e-05,0.0003370942769539079,v0.00d1.70
808.2204408817636,1.2021783887775548e-05,0.00033985092464929864,v0.00d1.70
810.2404809619239,1.2875607695390819e-05,0.0003425966424849701,v0.00d1.70
812.2605210420842,1.3746248336673349e-05,0.0003452614793587174,v0.00d1.70
814.2805611222444,1.461688897795588e-05,0.0003479263162324649,v0.00d1.70
816.3006012024048,1.549026258517035e-05,0.00035058153887775555,v0.00d1.70
818.320641282565,1.6379268757515005e-05,0.00035318176813627246,v0.00d1.70
820.3406813627255,1.7268274929859736e-05,0.0003557819973947897,v0.00d1.70
822.3607214428857,1.8160554048096175e-05,0.00035837367154308616,v0.00d1.70
824.3807615230462,1.9067888717434892e-05,0.00036092599218436885,v0.00d1.70
826.4008016032064,1.9975223386773534e-05,0.00036347831282565127,v0.00d1.70
828.4208416833668,2.0886051042084197e-05,0.00036602417354709423,v0.00d1.70
830.440881763527,2.1810152044088172e-05,0.00036854548657314627,v0.00d1.70
832.4609218436873,2.2734253046092143e-05,0.0003710667995991983,v0.00d1.70
834.4809619238476,2.3662546432865737e-05,0.0003735830705410822,v0.00d1.70
836.5010020040079,2.4604255450901768e-05,0.00037608320681362713,v0.00d1.70
838.5210420841684,2.5545964468937888e-05,0.00037858334308617236,v0.00d1.70
840.5410821643286,2.6492231202404782e-05,0.00038108037715430855,v0.00d1.70
842.5611222444891,2.7450955691382785e-05,0.0003835689318637275,v0.00d1.70
844.5811623246493,2.8409680180360703e-05,0.00038605748657314623,v0.00d1.70
846.6012024048097,2.9373478817635296e-05,0.00038854475871743485,v0.00d1.70
848.6212424849699,3.0349252444889767e-05,0.000391029004008016,v0.00d1.70
850.6412825651303,3.1325026072144324e-05,0.0003935132492985973,v0.00d1.70
852.6613226452905,3.230613436873747e-05,0.0003959982440881763,v0.00d1.70
854.681362725451,3.329820298597198e-05,0.00039848477875751513,v0.00d1.70
856.7014028056112,3.4290271603206416e-05,0.0004009713134268537,v0.00d1.70
858.7214428857715,3.528838591182361e-05,0.0004034602288577153,v0.00d1.70
860.7414829659319,3.6297382464929866e-05,0.00040595342965931867,v0.00d1.70
862.7615230460922,3.7306379018036044e-05,0.0004084466304609217,v0.00d1.70
864.7815631262525,3.8321766152304625e-05,0.0004109441819639278,v0.00d1.70
866.8016032064128,3.9347279899799574e-05,0.00041344862765531055,v0.00d1.70
868.8216432865731,4.037279364729461e-05,0.0004159530733466934,v0.00d1.70
870.8416833667334,4.1405221823647274e-05,0.0004184636212424849,v0.00d1.70
872.8617234468938,4.244733020040083e-05,0.000420982712224449,v0.00d1.70
874.8817635270541,4.3489438577154306e-05,0.00042350180320641285,v0.00d1.70
876.9018036072146,4.4538982324649344e-05,0.0004260288601202406,v0.00d1.70
878.9218436873748,4.559774593186373e-05,0.00042856579478957915,v0.00d1.70
880.9418837675352,4.6656509539078196e-05,0.00043110272945891796,v0.00d1.70
882.9619238476954,4.772311923847696e-05,0.000433649475751503,v0.00d1.70
