pressure,epsilon,muB
1.3237900000000002e-07,1.195878e-05,942.0
1.3237900000000002e-07,2.0375549699399193e-05,943.7074148296595
1.36608478557114e-07,2.879231939879755e-05,945.4148296593187
1.7761967783567306e-07,3.720908909819674e-05,947.122244488978
2.8170771523045895e-07,5.582179659318603e-05,948.8296593186373
4.5252921903808225e-07,8.522151074148401e-05,950.5370741482966
6.233507228456885e-07,0.00011462122488977903,952.2444889779558
7.941722266533119e-07,0.00014402093903807703,953.9519038076153
1.1006194390781492e-06,0.00015965647234468904,955.6593186372745
1.4109978314629334e-06,0.0001748930438877759,957.366733466934
1.7213762238476864e-06,0.0001901296154308613,959.0741482965932
2.0673914328657386e-06,0.0002032635867735473,960.7815631262525
2.455622563126239e-06,0.00021390678557114195,962.4889779559118
2.843853693386778e-06,0.00022454998436873764,964.1963927855711
3.2320848236472785e-06,0.00023519318316633225,965.9038076152303
3.6786180380761553e-06,0.00024363429739478963,967.6112224448898
4.128631973947874e-06,0.00025194394388777515,969.318637274549
4.57864590981964e-06,0.00026025359038076153,971.0260521042085
5.043937839679382e-06,0.0002679919761523049,972.7334669338678
5.529516941883765e-06,0.00027497180260521037,974.440881763527
6.015096044088197e-06,0.00028195162905811654,976.1482965931864
6.500675146292581e-06,0.00028893145551102194,977.8557114228456
7.025875851703427e-06,0.0002950158450901806,979.5631262525051
7.554733935871736e-06,0.00030101757895791573,981.2705410821643
8.083592020040098e-06,0.00030701931282565146,982.9779559118238
8.625753835671331e-06,0.00031273432184368723,984.685370741483
9.187754549098211e-06,0.000318021758717435,986.3927855711423
9.749755262525034e-06,0.0003233091955911822,988.1002004008016
1.0311755975951914e-05,0.00032859663246492994,989.8076152304609
1.0899484929859699e-05,0.0003333849174348696,991.5150300601201
1.1490480961923857e-05,0.0003381098180360722,993.2224448897796
1.2081476993987953e-05,0.00034283471863727434,994.9298597194388
1.2682168096192388e-05,0.00034738920140280565,996.6372745490983
1.3299139599198369e-05,0.0003516575108216431,998.3446893787575
1.3916111102204409e-05,0.00035592582024048094,1000.0521042084168
1.4533082605210388e-05,0.0003601941296593185,1001.7595190380761
1.5170547174348693e-05,0.0003641383200400802,1003.4669338677354
1.5811371262525075e-05,0.0003680293761523048,1005.1743486973949
1.6452195350701396e-05,0.000371920432264529,1006.8817635270541
1.710002575150303e-05,0.00037570328577154317,1008.5891783567135
1.7761153847695378e-05,0.0003792807751503005,1010.2965931863728
1.8422281943887796e-05,0.0003828582645290582,1012.0040080160321
1.9083410040080144e-05,0.00038643575390781554,1013.7114228456913
1.976116927855713e-05,0.0003897940328657315,1015.4188376753507
2.044231112224447e-05,0.0003931077266533065,1017.1262525050099
2.1123452965931878e-05,0.0003964214204408818,1018.8336673346694
2.1810256332665305e-05,0.00039966508016032055,1020.5410821643286
2.2509263426853716e-05,0.00040275777755511026,1022.248496993988
2.3208270521042056e-05,0.0004058504749498997,1023.9559118236473
2.3907277615230466e-05,0.0004089431723446894,1025.6633266533067
2.461980022044085e-05,0.00041188632184368726,1027.370741482966
2.53356424248497e-05,0.0004147927402805611,1029.0781563126252
2.6051484629258556e-05,0.00041769915871743503,1030.7855711422847
2.6771877094188374e-05,0.00042056045250501,1032.4929859719439
2.7503478737474983e-05,0.00042331058557114245,1034.2004008016033
2.8235080380761515e-05,0.0004260607186372745,1035.9078156312626
2.896668202404812e-05,0.00042881085170340687,1037.6152304609218
2.9709660621242473e-05,0.00043145931743486965,1039.322645290581
3.0455948877755536e-05,0.0004340782072144289,1041.0300601202405
3.1202237134268524e-05,0.0004366970969939879,1042.7374749498997
3.1952213527054126e-05,0.00043928723947895794,1044.4448897795592
3.271265625250498e-05,0.0004417958018036071,1046.1523046092184
3.347309897795593e-05,0.0004443043641282566,1047.8597194388778
3.4233541703406784e-05,0.00044681292645290565,1049.567134268537
3.5004053366733476e-05,0.0004492474374749499,1051.2745490981965
3.577798466933865e-05,0.00045165679899799584,1052.9819639278558
3.655191597194389e-05,0.0004540661605210421,1054.689378757515
3.732884571142289e-05,0.00045646071503006023,1056.3967935871744
3.811567937875751e-05,0.0004588063615230461,1058.1042084168337
3.890251304609214e-05,0.0004611520080160319,1059.811623246493
3.968934671342685e-05,0.000463497654509018,1061.5190380761524
4.04938106412826e-05,0.000465755916232465,1063.2264529058116
4.130518839679358e-05,0.0004679799094188377,1064.9338677354708
4.211656615230464e-05,0.0004702039026052105,1066.6412825651303
4.2927943907815615e-05,0.0004724278957915831,1068.3486973947895
4.3739321663326674e-05,0.000474651888977956,1070.056112224449
4.455069941883766e-05,0.0004768758821643286,1071.7635270541082
4.5362077174348716e-05,0.00047909987535070146,1073.4709418837676
4.61734549298597e-05,0.00048132386853707405,1075.1783567134269
4.698483268537075e-05,0.00048354786172344696,1076.8857715430863
4.7796210440881736e-05,0.00048577185490981955,1078.5931863727455
4.861269090180362e-05,0.00048797838316633267,1080.3006012024048
4.945305202404806e-05,0.0004901031755511022,1082.008016032064
5.029341314629258e-05,0.0004922279679358718,1083.7154308617235
5.1133774268537034e-05,0.0004943527603206413,1085.4228456913827
5.197413539078156e-05,0.0004964775715430862,1087.1302605210421
5.2814496513026094e-05,0.0004986023923847696,1088.8376753507014
5.3654857635270546e-05,0.000500727213226453,1090.5450901803606
5.449996837675355e-05,0.0005028440296593187,1092.25250501002
5.537244597194388e-05,0.0005049147254509018,1093.9599198396793
5.62449235671343e-05,0.000506985421242485,1095.6673346693387
5.7117401162324634e-05,0.0005090561170340681,1097.374749498998
5.797733647294591e-05,0.0005111341715430862,1099.0821643286574
