p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
2.139622e-07,9.855000e+00,5.361969e-02,9.209688e-05,2.705132e-01,3.157059e+02,0.000000e+00,-1.368697e-01,1.000000e+00
2.209825e-07,9.830000e+00,5.345089e-02,9.538545e-05,2.801912e-01,3.157805e+02,0.000000e+00,-1.014558e-01,1.000000e+00
2.282333e-07,9.800000e+00,5.321062e-02,9.878192e-05,2.901867e-01,3.158575e+02,0.000000e+00,-6.487987e-02,1.000000e+00
2.357219e-07,9.775000e+00,5.303719e-02,1.022898e-04,3.005102e-01,3.159371e+02,0.000000e+00,-2.710388e-02,1.000000e+00
2.434562e-07,9.745000e+00,5.279340e-02,1.053335e-04,3.094761e-01,3.160037e+02,0.000000e+00,2.787916e-03,1.000000e+00
2.514443e-07,9.720000e+00,5.261610e-02,1.065196e-04,3.130054e-01,3.160201e+02,0.000000e+00,2.836208e-03,1.000000e+00
2.596945e-07,9.685000e+00,5.234118e-02,1.077446e-04,3.166505e-01,3.160371e+02,0.000000e+00,2.886084e-03,1.000000e+00
2.682155e-07,9.655000e+00,5.212720e-02,1.090099e-04,3.204152e-01,3.160546e+02,0.000000e+00,2.937597e-03,1.000000e+00
2.770160e-07,9.620000e+00,5.187360e-02,1.103166e-04,3.243035e-01,3.160726e+02,0.000000e+00,2.990801e-03,1.000000e+00
2.861052e-07,9.580000e+00,5.158154e-02,1.116662e-04,3.283193e-01,3.160913e+02,0.000000e+00,3.045750e-03,1.000000e+00
2.954927e-07,9.545000e+00,5.136122e-02,1.130601e-04,3.324669e-01,3.161106e+02,0.000000e+00,3.102502e-03,1.000000e+00
3.051882e-07,9.505000e+00,5.109223e-02,1.144998e-04,3.367505e-01,3.161305e+02,0.000000e+00,3.161116e-03,1.000000e+00
3.152018e-07,9.465000e+00,5.084034e-02,1.159866e-04,3.411748e-01,3.161511e+02,0.000000e+00,3.221653e-03,1.000000e+00
3.255440e-07,9.425000e+00,5.060535e-02,1.175223e-04,3.457442e-01,3.161723e+02,0.000000e+00,3.284176e-03,1.000000e+00
3.362255e-07,9.380000e+00,5.032380e-02,1.191083e-04,3.504635e-01,3.161942e+02,0.000000e+00,3.348751e-03,1.000000e+00
3.472575e-07,9.340000e+00,5.012243e-02,1.207464e-04,3.553376e-01,3.162169e+02,0.000000e+00,3.415445e-03,1.000000e+00
3.586514e-07,9.295000e+00,4.987513e-02,1.224383e-04,3.603717e-01,3.162403e+02,0.000000e+00,3.484327e-03,1.000000e+00
3.704192e-07,9.250000e+00,4.964481e-02,1.241856e-04,3.655710e-01,3.162645e+02,0.000000e+00,3.555469e-03,1.000000e+00
3.825732e-07,9.205000e+00,4.943118e-02,1.259903e-04,3.709408e-01,3.162894e+02,0.000000e+00,3.628946e-03,1.000000e+00
3.951259e-07,9.160000e+00,4.923391e-02,1.278542e-04,3.764869e-01,3.163152e+02,0.000000e+00,3.704833e-03,1.000000e+00
4.080905e-07,9.115000e+00,4.905264e-02,1.297792e-04,3.822149e-01,3.163418e+02,0.000000e+00,3.783210e-03,1.000000e+00
4.214804e-07,9.070000e+00,4.888703e-02,1.317674e-04,3.881309e-01,3.163693e+02,0.000000e+00,3.864159e-03,1.000000e+00
4.353097e-07,9.025000e+00,4.873671e-02,1.338209e-04,3.942409e-01,3.163977e+02,0.000000e+00,3.947764e-03,1.000000e+00
4.495928e-07,8.980000e+00,4.860129e-02,1.359417e-04,4.005515e-01,3.164270e+02,0.000000e+00,4.034112e-03,1.000000e+00
4.643445e-07,8.935000e+00,4.848039e-02,1.381321e-04,4.070691e-01,3.164573e+02,0.000000e+00,4.123294e-03,1.000000e+00
4.795803e-07,8.890000e+00,4.837360e-02,1.403944e-04,4.138006e-01,3.164886e+02,0.000000e+00,4.215401e-03,1.000000e+00
4.953159e-07,8.845000e+00,4.828051e-02,1.427309e-04,4.207529e-01,3.165209e+02,0.000000e+00,4.310531e-03,1.000000e+00
5.115679e-07,8.800000e+00,4.820070e-02,1.451441e-04,4.279334e-01,3.165543e+02,0.000000e+00,4.408782e-03,1.000000e+00
5.283531e-07,8.755000e+00,4.813372e-02,1.476364e-04,4.353494e-01,3.165888e+02,0.000000e+00,4.510256e-03,1.000000e+00
5.456890e-07,8.715000e+00,4.813366e-02,1.502105e-04,4.430088e-01,3.166244e+02,0.000000e+00,4.615061e-03,1.000000e+00
