p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
2.388250e-09,3.000000e+01,4.011539e-03,5.237470e-08,1.490613e-04,3.100000e+02,0.000000e+00,2.573458e-03,1.000000e+00
2.490594e-09,3.000000e+01,1.129547e-02,1.978510e-07,5.706776e-04,3.100816e+02,0.000000e+00,2.573458e-03,1.000000e+00
2.597323e-09,3.000000e+01,1.675984e-02,3.495613e-07,1.010361e-03,3.101666e+02,0.000000e+00,2.573458e-03,1.000000e+00
2.708627e-09,3.000000e+01,2.080605e-02,5.077730e-07,1.468887e-03,3.102553e+02,0.000000e+00,2.573458e-03,1.000000e+00
2.824700e-09,3.000000e+01,2.388402e-02,6.727644e-07,1.947062e-03,3.103478e+02,0.000000e+00,2.573458e-03,1.000000e+00
2.945747e-09,3.000000e+01,2.627368e-02,8.448263e-07,2.445728e-03,3.104443e+02,0.000000e+00,2.573458e-03,1.000000e+00
3.071981e-09,3.000000e+01,2.815800e-02,1.024262e-06,2.965764e-03,3.105448e+02,0.000000e+00,2.573458e-03,1.000000e+00
3.203625e-09,3.000000e+01,2.966143e-02,1.211386e-06,3.508084e-03,3.106498e+02,0.000000e+00,2.573458e-03,1.000000e+00
3.340910e-09,3.000000e+01,3.087144e-02,1.406530e-06,4.073645e-03,3.107592e+02,0.000000e+00,2.573458e-03,1.000000e+00
3.484079e-09,3.000000e+01,3.185122e-02,1.610036e-06,4.663442e-03,3.108732e+02,0.000000e+00,2.573458e-03,1.000000e+00
3.633382e-09,3.000000e+01,3.264749e-02,1.822262e-06,5.278513e-03,3.109922e+02,0.000000e+00,2.573458e-03,1.000000e+00
3.789084e-09,3.000000e+01,3.329550e-02,2.043584e-06,5.919942e-03,3.111163e+02,0.000000e+00,2.573458e-03,1.000000e+00
3.951458e-09,3.000000e+01,3.382233e-02,2.274390e-06,6.588859e-03,3.112457e+02,0.000000e+00,2.573458e-03,1.000000e+00
4.120790e-09,3.000000e+01,3.424907e-02,2.515086e-06,7.286440e-03,3.113806e+02,0.000000e+00,2.573458e-03,1.000000e+00
4.297378e-09,3.000000e+01,3.459243e-02,2.766097e-06,8.013915e-03,3.115213e+02,0.000000e+00,2.573458e-03,1.000000e+00
4.481534e-09,3.000000e+01,3.486575e-02,3.027865e-06,8.772565e-03,3.116681e+02,0.000000e+00,2.573458e-03,1.000000e+00
4.673582e-09,3.000000e+01,3.507982e-02,3.300850e-06,9.563725e-03,3.118211e+02,0.000000e+00,2.573458e-03,1.000000e+00
4.873859e-09,3.000000e+01,3.524348e-02,3.585533e-06,1.038879e-02,3.119807e+02,0.000000e+00,2.573458e-03,1.000000e+00
5.082719e-09,3.000000e+01,3.538951e-02,3.662135e-06,1.061155e-02,3.120093e+02,0.000000e+00,2.586474e-03,1.000000e+00
5.300529e-09,3.000000e+01,3.557910e-02,3.711918e-06,1.075671e-02,3.120203e+02,0.000000e+00,2.601826e-03,1.000000e+00
5.527673e-09,3.000000e+01,3.582904e-02,3.763835e-06,1.090810e-02,3.120318e+02,0.000000e+00,2.617837e-03,1.000000e+00
5.764551e-09,3.000000e+01,3.614799e-02,3.817976e-06,1.106598e-02,3.120438e+02,0.000000e+00,2.634533e-03,1.000000e+00
6.011580e-09,3.000000e+01,3.654138e-02,3.874437e-06,1.123062e-02,3.120562e+02,0.000000e+00,2.651945e-03,1.000000e+00
6.269194e-09,3.000000e+01,3.701267e-02,3.933318e-06,1.140232e-02,3.120692e+02,0.000000e+00,2.670103e-03,1.000000e+00
6.537849e-09,3.000000e+01,3.756393e-02,3.994723e-06,1.158138e-02,3.120828e+02,0.000000e+00,2.689039e-03,1.000000e+00
6.818016e-09,3.000000e+01,3.819621e-02,4.058758e-06,1.176811e-02,3.120970e+02,0.000000e+00,2.708787e-03,1.000000e+00
7.110189e-09,3.000000e+01,3.890974e-02,4.125538e-06,1.196284e-02,3.121117e+02,0.000000e+00,2.729381e-03,1.000000e+00
7.414882e-09,3.000000e+01,3.970408e-02,4.195179e-06,1.216591e-02,3.121271e+02,0.000000e+00,2.750857e-03,1.000000e+00
7.732633e-09,3.000000e+01,4.057824e-02,4.267805e-06,1.237769e-02,3.121431e+02,0.000000e+00,2.773254e-03,1.000000e+00
8.064000e-09,3.000000e+01,4.153078e-02,4.343543e-06,1.259854e-02,3.121599e+02,0.000000e+00,2.796611e-03,1.000000e+00
8.409567e-09,3.000000e+01,4.255987e-02,4.422527e-06,1.282886e-02,3.121773e+02,0.000000e+00,2.820968e-03,1.000000e+00
8.769943e-09,3.000000e+01,4.366336e-02,4.504895e-06,1.306905e-02,3.121955e+02,0.000000e+00,2.846369e-03,1.000000e+00
9.145762e-09,3.000000e+01,4.483880e-02,4.590793e-06,1.331953e-02,3.122145e+02,0.000000e+00,2.872859e-03,1.000000e+00
9.537686e-09,3.000000e+01,4.608351e-02,4.680372e-06,1.358074e-02,3.122343e+02,0.000000e+00,2.900484e-03,1.000000e+00
9.946405e-09,3.000000e+01,4.739461e-02,4.773790e-06,1.385315e-02,3.122549e+02,0.000000e+00,2.929293e-03,1.000000e+00
1.037264e-08,3.000000e+01,4.876905e-02,4.871211e-06,1.413723e-02,3.122765e+02,0.000000e+00,2.959336e-03,1.000000e+00
1.081714e-08,3.000000e+01,5.020360e-02,4.972807e-06,1.443348e-02,3.122989e+02,0.000000e+00,2.990667e-03,1.000000e+00
1.128069e-08,3.000000e+01,5.169493e-02,5.078756e-06,1.474243e-02,3.123223e+02,0.000000e+00,3.023340e-03,1.000000e+00
1.176410e-08,3.000000e+01,5.323958e-02,5.189246e-06,1.506462e-02,3.123467e+02,0.000000e+00,3.057414e-03,1.000000e+00
1.226823e-08,3.000000e+01,5.483401e-02,5.304470e-06,1.540062e-02,3.123722e+02,0.000000e+00,3.092947e-03,1.000000e+00
1.279396e-08,3.000000e+01,5.647459e-02,5.424633e-06,1.575101e-02,3.123987e+02,0.000000e+00,3.130004e-03,1.000000e+00
1.334222e-08,3.000000e+01,5.815766e-02,5.549944e-06,1.611642e-02,3.124264e+02,0.000000e+00,3.168648e-03,1.000000e+00
1.391397e-08,3.000000e+01,5.987947e-02,5.680626e-06,1.649749e-02,3.124553e+02,0.000000e+00,3.208949e-03,1.000000e+00
1.451023e-08,3.000000e+01,6.163627e-02,5.816908e-06,1.689489e-02,3.124854e+02,0.000000e+00,3.250976e-03,1.000000e+00
1.513204e-08,3.000000e+01,6.342426e-02,5.959029e-06,1.730932e-02,3.125168e+02,0.000000e+00,3.294804e-03,1.000000e+00
1.578049e-08,3.000000e+01,6.523965e-02,6.107242e-06,1.774151e-02,3.125496e+02,0.000000e+00,3.340511e-03,1.000000e+00
1.645674e-08,3.000000e+01,6.707940e-02,6.261805e-06,1.819222e-02,3.125837e+02,0.000000e+00,3.388176e-03,1.000000e+00
1.716196e-08,3.000000e+01,6.894289e-02,6.422992e-06,1.866224e-02,3.126193e+02,0.000000e+00,3.437884e-03,1.000000e+00
1.789740e-08,3.000000e+01,7.082611e-02,6.591087e-06,1.915241e-02,3.126565e+02,0.000000e+00,3.489722e-03,1.000000e+00
1.866436e-08,3.000000e+01,7.272478e-02,6.766384e-06,1.966358e-02,3.126952e+02,0.000000e+00,3.543781e-03,1.000000e+00
1.946418e-08,3.000000e+01,7.463474e-02,6.949194e-06,2.019666e-02,3.127356e+02,0.000000e+00,3.600157e-03,1.000000e+00
2.029828e-08,3.000000e+01,7.655196e-02,7.139838e-06,2.075257e-02,3.127777e+02,0.000000e+00,3.658949e-03,1.000000e+00
2.116813e-08,3.000000e+01,7.847255e-02,7.338651e-06,2.133232e-02,3.128216e+02,0.000000e+00,3.720261e-03,1.000000e+00
2.207525e-08,3.000000e+01,8.039275e-02,7.545985e-06,2.193690e-02,3.128674e+02,0.000000e+00,3.784199e-03,1.000000e+00
2.302124e-08,3.000000e+01,8.230893e-02,7.762203e-06,2.256740e-02,3.129152e+02,0.000000e+00,3.850878e-03,1.000000e+00
2.400777e-08,3.000000e+01,8.421757e-02,7.987686e-06,2.322491e-02,3.129650e+02,0.000000e+00,3.920414e-03,1.000000e+00
2.503658e-08,3.000000e+01,8.611532e-02,8.222833e-06,2.391060e-02,3.130170e+02,0.000000e+00,3.992930e-03,1.000000e+00
2.610947e-08,3.000000e+01,8.799893e-02,8.468056e-06,2.462568e-02,3.130712e+02,0.000000e+00,4.068553e-03,1.000000e+00
2.722834e-08,3.000000e+01,8.986530e-02,8.723788e-06,2.537139e-02,3.131277e+02,0.000000e+00,4.147417e-03,1.000000e+00
2.839516e-08,3.000000e+01,9.171146e-02,8.990478e-06,2.614907e-02,3.131866e+02,0.000000e+00,4.229661e-03,1.000000e+00
2.961198e-08,3.000000e+01,9.353459e-02,9.268597e-06,2.696007e-02,3.132480e+02,0.000000e+00,4.315429e-03,1.000000e+00
3.088095e-08,3.000000e+01,9.533200e-02,9.558635e-06,2.780582e-02,3.133121e+02,0.000000e+00,4.404873e-03,1.000000e+00
3.220429e-08,3.000000e+01,9.710114e-02,9.861101e-06,2.868781e-02,3.133790e+02,0.000000e+00,4.498149e-03,1.000000e+00
3.358434e-08,3.000000e+01,9.883962e-02,1.017653e-05,2.960761e-02,3.134487e+02,0.000000e+00,4.595423e-03,1.000000e+00
3.502354e-08,3.000000e+01,1.005452e-01,1.050547e-05,3.056681e-02,3.135213e+02,0.000000e+00,4.696865e-03,1.000000e+00
3.652440e-08,3.000000e+01,1.022157e-01,1.084852e-05,3.156713e-02,3.135971e+02,0.000000e+00,4.802654e-03,1.000000e+00
3.808958e-08,3.000000e+01,1.038492e-01,1.120626e-05,3.261031e-02,3.136762e+02,0.000000e+00,4.912977e-03,1.000000e+00
3.972184e-08,3.000000e+01,1.054439e-01,1.157933e-05,3.369819e-02,3.137586e+02,0.000000e+00,5.028027e-03,1.000000e+00
4.142404e-08,3.000000e+01,1.069981e-01,1.196839e-05,3.483269e-02,3.138446e+02,0.000000e+00,5.148007e-03,1.000000e+00
4.319919e-08,3.000000e+01,1.085103e-01,1.237412e-05,3.601581e-02,3.139342e+02,0.000000e+00,5.273129e-03,1.000000e+00
4.505041e-08,3.000000e+01,1.099810e-01,1.276918e-05,3.716968e-02,3.140109e+02,0.000000e+00,5.375835e-03,1.000000e+00
