# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=fm^-4 => code, pFactor=2.612195e-04, eFactor=2.612195e-04
# P (code_units),e (code_units),n,muB
1.487175e-04,6.942613e-04,0.5,1273.6033394000003
1.579646e-04,7.112145e-04,0.51,1287.4389582352942
1.675096e-04,7.283478e-04,0.52,1301.436887692308
1.773497e-04,7.456693e-04,0.53,1315.595386792453
1.874772e-04,7.631788e-04,0.54,1329.8945722222222
1.978947e-04,7.808791e-04,0.55,1344.3339458181817
2.085916e-04,7.987726e-04,0.56,1358.89542625
2.195707e-04,8.168568e-04,0.57,1373.5725868421055
2.308266e-04,8.351396e-04,0.58,1388.3628463793107
2.423542e-04,8.536156e-04,0.59,1403.247075762712
2.541535e-04,8.722902e-04,0.6,1418.227154166667
2.662192e-04,8.911633e-04,0.61,1433.2918978688526
2.785488e-04,9.102376e-04,0.62,1448.4372101612903
2.911370e-04,9.295130e-04,0.63,1463.65299
3.039837e-04,9.489895e-04,0.64,1478.9359342187502
3.170865e-04,9.686672e-04,0.65,1494.2799070769229
3.304426e-04,9.885512e-04,0.66,1509.6851243939393
3.440496e-04,1.008639e-03,0.67,1525.142953432836
3.579020e-04,1.028930e-03,0.68,1540.645269264706
3.720027e-04,1.049428e-03,0.69,1556.1958573913048
3.863462e-04,1.070130e-03,0.7,1571.784192
4.009301e-04,1.091041e-03,0.71,1587.411457464789
4.157569e-04,1.112158e-03,0.72,1603.076031666667
4.308188e-04,1.133484e-03,0.73,1618.7709750684933
4.461185e-04,1.155016e-03,0.74,1634.4950564864864
4.616532e-04,1.176757e-03,0.75,1650.2471103999999
4.774204e-04,1.198707e-03,0.76,1666.0234361842106
4.934201e-04,1.220867e-03,0.77,1681.8230881818183
5.096497e-04,1.243235e-03,0.78,1697.6426393589745
5.261091e-04,1.265812e-03,0.79,1713.4813340506332
5.427958e-04,1.288598e-03,0.8,1729.33598775
5.597098e-04,1.311596e-03,0.81,1745.2084455555553
5.768484e-04,1.334805e-03,0.82,1761.0956496341464
5.942116e-04,1.358224e-03,0.83,1776.9946895180726
6.117995e-04,1.381851e-03,0.84,1792.9051425
6.296069e-04,1.405690e-03,0.85,1808.8242842352943
6.476389e-04,1.429740e-03,0.86,1824.7564006976745
