p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02,0.000000e+00
1.096706e-15,3.000000e+01,5.775106e-07,7.540411e-12,9.210329e+02,0.000000e+00
1.202765e-15,3.000000e+01,6.313052e-07,8.242837e-12,9.211489e+02,0.000000e+00
1.319079e-15,3.000000e+01,6.903014e-07,9.013192e-12,9.212761e+02,0.000000e+00
1.446642e-15,3.000000e+01,7.550022e-07,9.858045e-12,9.214157e+02,0.000000e+00
1.586542e-15,3.000000e+01,8.259589e-07,1.078460e-11,9.215687e+02,0.000000e+00
1.739970e-15,3.000000e+01,9.037765e-07,1.180076e-11,9.217365e+02,0.000000e+00
1.908236e-15,3.000000e+01,9.891182e-07,1.291519e-11,9.219205e+02,0.000000e+00
2.092774e-15,3.000000e+01,1.082711e-06,1.413739e-11,9.221224e+02,0.000000e+00
2.295159e-15,3.000000e+01,1.185353e-06,1.547778e-11,9.223437e+02,0.000000e+00
2.517115e-15,3.000000e+01,1.297919e-06,1.694780e-11,9.225865e+02,0.000000e+00
2.760536e-15,3.000000e+01,1.421368e-06,1.855998e-11,9.228527e+02,0.000000e+00
3.027496e-15,3.000000e+01,1.556752e-06,2.032807e-11,9.231447e+02,0.000000e+00
3.320274e-15,3.000000e+01,1.705224e-06,2.226714e-11,9.234649e+02,0.000000e+00
3.641365e-15,3.000000e+01,1.868049e-06,2.439373e-11,9.238161e+02,0.000000e+00
3.993508e-15,3.000000e+01,2.046615e-06,2.672598e-11,9.242013e+02,0.000000e+00
4.379705e-15,3.000000e+01,2.242441e-06,2.928377e-11,9.246237e+02,0.000000e+00
4.803250e-15,3.000000e+01,2.457197e-06,3.208891e-11,9.250869e+02,0.000000e+00
5.267754e-15,3.000000e+01,2.495243e-06,3.257910e-11,9.250938e+02,0.000000e+00
5.777178e-15,3.000000e+01,2.533509e-06,3.307873e-11,9.250940e+02,0.000000e+00
6.335867e-15,3.000000e+01,2.575476e-06,3.362669e-11,9.250942e+02,0.000000e+00
