p_c,R,M,e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
7.148859e-06,2.590000e+00,3.419040e-02,7.113749e-04,2.406397e+00,3.586196e+02,0.000000e+00,2.350543e-01,1.000000e+00
7.336266e-06,2.620000e+00,3.544007e-02,7.122169e-04,2.409326e+00,3.587275e+02,0.000000e+00,2.358260e-01,1.000000e+00
7.528586e-06,2.650000e+00,3.668635e-02,7.130809e-04,2.412332e+00,3.588382e+02,0.000000e+00,2.366179e-01,1.000000e+00
7.725948e-06,2.680000e+00,3.796250e-02,7.139676e-04,2.415416e+00,3.589517e+02,0.000000e+00,2.374306e-01,1.000000e+00
7.928483e-06,2.715000e+00,3.944900e-02,7.148776e-04,2.418582e+00,3.590683e+02,0.000000e+00,2.382647e-01,1.000000e+00
8.136328e-06,2.745000e+00,4.082714e-02,7.158114e-04,2.421831e+00,3.591879e+02,0.000000e+00,2.391205e-01,1.000000e+00
8.349621e-06,2.775000e+00,4.220049e-02,7.167697e-04,2.425164e+00,3.593106e+02,0.000000e+00,2.399989e-01,1.000000e+00
8.568506e-06,2.810000e+00,4.383709e-02,7.177530e-04,2.428585e+00,3.594366e+02,0.000000e+00,2.409002e-01,1.000000e+00
8.793129e-06,2.840000e+00,4.527940e-02,7.187622e-04,2.432096e+00,3.595659e+02,0.000000e+00,2.418252e-01,1.000000e+00
9.023640e-06,2.875000e+00,4.699682e-02,7.197979e-04,2.435699e+00,3.596985e+02,0.000000e+00,2.427744e-01,1.000000e+00
9.260195e-06,2.910000e+00,4.871708e-02,7.208606e-04,2.439396e+00,3.598346e+02,0.000000e+00,2.437485e-01,1.000000e+00
9.502950e-06,2.940000e+00,5.031094e-02,7.219513e-04,2.443190e+00,3.599743e+02,0.000000e+00,2.447481e-01,1.000000e+00
9.752070e-06,2.975000e+00,5.215725e-02,7.230236e-04,2.446935e+00,3.601152e+02,0.000000e+00,2.456196e-01,1.000000e+00
1.000772e-05,3.010000e+00,5.404988e-02,7.241134e-04,2.450745e+00,3.602592e+02,0.000000e+00,2.464794e-01,1.000000e+00
1.027007e-05,3.045000e+00,5.594416e-02,7.252318e-04,2.454655e+00,3.604070e+02,0.000000e+00,2.473617e-01,1.000000e+00
1.053930e-05,3.080000e+00,5.793055e-02,7.263796e-04,2.458668e+00,3.605586e+02,0.000000e+00,2.482672e-01,1.000000e+00
1.081559e-05,3.110000e+00,5.972839e-02,7.275574e-04,2.462785e+00,3.607142e+02,0.000000e+00,2.491963e-01,1.000000e+00
1.109912e-05,3.150000e+00,6.204955e-02,7.287661e-04,2.467011e+00,3.608739e+02,0.000000e+00,2.501499e-01,1.000000e+00
1.139008e-05,3.185000e+00,6.418370e-02,7.300065e-04,2.471347e+00,3.610378e+02,0.000000e+00,2.511284e-01,1.000000e+00
1.168867e-05,3.220000e+00,6.641940e-02,7.312795e-04,2.475797e+00,3.612060e+02,0.000000e+00,2.521326e-01,1.000000e+00
1.199509e-05,3.255000e+00,6.865705e-02,7.325858e-04,2.480363e+00,3.613786e+02,0.000000e+00,2.531631e-01,1.000000e+00
1.230954e-05,3.290000e+00,7.094712e-02,7.339263e-04,2.485049e+00,3.615557e+02,0.000000e+00,2.542207e-01,1.000000e+00
1.263223e-05,3.325000e+00,7.329043e-02,7.353020e-04,2.489859e+00,3.617375e+02,0.000000e+00,2.553059e-01,1.000000e+00
1.296339e-05,3.365000e+00,7.601993e-02,7.367137e-04,2.494794e+00,3.619240e+02,0.000000e+00,2.564196e-01,1.000000e+00
1.330322e-05,3.400000e+00,7.847925e-02,7.381262e-04,2.499746e+00,3.621131e+02,0.000000e+00,2.574290e-01,1.000000e+00
