p_c,R,M,e(pc),col2(pc)
1.703854e-12,3.000000e+01,1.298504e-04,1.698536e-09,9.257614e+02
1.872132e-12,3.000000e+01,1.424418e-04,1.863581e-09,9.258276e+02
2.057031e-12,3.000000e+01,1.562714e-04,2.044928e-09,9.259002e+02
2.260190e-12,3.000000e+01,1.714604e-04,2.244185e-09,9.259801e+02
2.483414e-12,3.000000e+01,1.881418e-04,2.463121e-09,9.260678e+02
2.728685e-12,3.000000e+01,2.064614e-04,2.703680e-09,9.261642e+02
2.998179e-12,3.000000e+01,2.265789e-04,2.967997e-09,9.262701e+02
3.294290e-12,3.000000e+01,2.486698e-04,3.258419e-09,9.263865e+02
3.619645e-12,3.000000e+01,2.729260e-04,3.577525e-09,9.265144e+02
3.977134e-12,3.000000e+01,2.995580e-04,3.928146e-09,9.266549e+02
4.369930e-12,3.000000e+01,3.287964e-04,4.313396e-09,9.268093e+02
4.801519e-12,3.000000e+01,3.595583e-04,4.717658e-09,9.269366e+02
5.275734e-12,3.000000e+01,3.927999e-04,5.156175e-09,9.270640e+02
5.796783e-12,3.000000e+01,4.292894e-04,5.638001e-09,9.272039e+02
6.369294e-12,3.000000e+01,4.693405e-04,6.167415e-09,9.273576e+02
6.998347e-12,3.000000e+01,5.132960e-04,6.749114e-09,9.275265e+02
7.689528e-12,3.000000e+01,5.615313e-04,7.388265e-09,9.277121e+02
8.448972e-12,3.000000e+01,6.144563e-04,8.090540e-09,9.279160e+02
9.283422e-12,3.000000e+01,6.725191e-04,8.862175e-09,9.281401e+02
1.020029e-11,3.000000e+01,7.362087e-04,9.710019e-09,9.283863e+02
1.120770e-11,3.000000e+01,8.044695e-04,1.059143e-08,9.286093e+02
1.231461e-11,3.000000e+01,8.626588e-04,1.136446e-08,9.286695e+02
1.353085e-11,3.000000e+01,9.265133e-04,1.221383e-08,9.287356e+02
1.486720e-11,3.000000e+01,9.965758e-04,1.314710e-08,9.288083e+02
1.633553e-11,3.000000e+01,1.073439e-03,1.417253e-08,9.288881e+02
1.794889e-11,3.000000e+01,1.157751e-03,1.529924e-08,9.289758e+02
1.972158e-11,3.000000e+01,1.250218e-03,1.653722e-08,9.290722e+02
2.166935e-11,3.000000e+01,1.351610e-03,1.789747e-08,9.291780e+02
2.380949e-11,3.000000e+01,1.462767e-03,1.939207e-08,9.292944e+02
2.616100e-11,3.000000e+01,1.584601e-03,2.103428e-08,9.294222e+02
2.874475e-11,3.000000e+01,1.718108e-03,2.283868e-08,9.295627e+02
3.158368e-11,3.000000e+01,1.864366e-03,2.482128e-08,9.297170e+02
3.470300e-11,3.000000e+01,2.024548e-03,2.699970e-08,9.298866e+02
3.813039e-11,3.000000e+01,2.199923e-03,2.939326e-08,9.300729e+02
4.189628e-11,3.000000e+01,2.391866e-03,3.202322e-08,9.302776e+02
4.603410e-11,3.000000e+01,2.584155e-03,3.444147e-08,9.303794e+02
5.058058e-11,3.000000e+01,2.761434e-03,3.685707e-08,9.304282e+02
