p_c,R,M,e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
6.521454e-08,2.600000e-01,3.357511e-05,6.733978e-04,2.322610e+00,3.620000e+02,0.000000e+00,1.321237e-01,1.000000e+00
6.747047e-08,2.650000e-01,3.554963e-05,6.734095e-04,2.322652e+00,3.620014e+02,0.000000e+00,1.321758e-01,1.000000e+00
6.980443e-08,2.700000e-01,3.760009e-05,6.734217e-04,2.322694e+00,3.620028e+02,0.000000e+00,1.322298e-01,1.000000e+00
7.221913e-08,2.750000e-01,3.972792e-05,6.734343e-04,2.322739e+00,3.620042e+02,0.000000e+00,1.322856e-01,1.000000e+00
7.471736e-08,2.800000e-01,4.193456e-05,6.734473e-04,2.322784e+00,3.620057e+02,0.000000e+00,1.323434e-01,1.000000e+00
7.730202e-08,2.850000e-01,4.422145e-05,6.734607e-04,2.322832e+00,3.620073e+02,0.000000e+00,1.324032e-01,1.000000e+00
7.997608e-08,2.900000e-01,4.659003e-05,6.734747e-04,2.322881e+00,3.620089e+02,0.000000e+00,1.324650e-01,1.000000e+00
8.274264e-08,2.950000e-01,4.904173e-05,6.734891e-04,2.322932e+00,3.620106e+02,0.000000e+00,1.325290e-01,1.000000e+00
8.560490e-08,3.000000e-01,5.157799e-05,6.735040e-04,2.322984e+00,3.620123e+02,0.000000e+00,1.325952e-01,1.000000e+00
8.856618e-08,3.050000e-01,5.420024e-05,6.735194e-04,2.323038e+00,3.620141e+02,0.000000e+00,1.326637e-01,1.000000e+00
9.162990e-08,3.100000e-01,5.690993e-05,6.735353e-04,2.323094e+00,3.620159e+02,0.000000e+00,1.327345e-01,1.000000e+00
9.479959e-08,3.150000e-01,5.970849e-05,6.735518e-04,2.323153e+00,3.620178e+02,0.000000e+00,1.328078e-01,1.000000e+00
9.807894e-08,3.200000e-01,6.259736e-05,6.735689e-04,2.323213e+00,3.620198e+02,0.000000e+00,1.328836e-01,1.000000e+00
1.014717e-07,3.250000e-01,6.557799e-05,6.735866e-04,2.323275e+00,3.620219e+02,0.000000e+00,1.329621e-01,1.000000e+00
1.049819e-07,3.300000e-01,6.865181e-05,6.736049e-04,2.323339e+00,3.620240e+02,0.000000e+00,1.330433e-01,1.000000e+00
1.086134e-07,3.350000e-01,7.182026e-05,6.736238e-04,2.323406e+00,3.620262e+02,0.000000e+00,1.331272e-01,1.000000e+00
1.123706e-07,3.400000e-01,7.508479e-05,6.736433e-04,2.323475e+00,3.620284e+02,0.000000e+00,1.332141e-01,1.000000e+00
1.162578e-07,3.500000e-01,8.132206e-05,6.736636e-04,2.323546e+00,3.620308e+02,0.000000e+00,1.333040e-01,1.000000e+00
1.202794e-07,3.550000e-01,8.546839e-05,6.736845e-04,2.323620e+00,3.620332e+02,0.000000e+00,1.333970e-01,1.000000e+00
1.244402e-07,3.600000e-01,8.913154e-05,6.737062e-04,2.323696e+00,3.620357e+02,0.000000e+00,1.334932e-01,1.000000e+00
1.287449e-07,3.650000e-01,9.289799e-05,6.737286e-04,2.323775e+00,3.620383e+02,0.000000e+00,1.335928e-01,1.000000e+00
1.331985e-07,3.750000e-01,1.000736e-04,6.737518e-04,2.323856e+00,3.620410e+02,0.000000e+00,1.336958e-01,1.000000e+00
1.378061e-07,3.800000e-01,1.048300e-04,6.737758e-04,2.323941e+00,3.620437e+02,0.000000e+00,1.338023e-01,1.000000e+00
1.425732e-07,3.850000e-01,1.090239e-04,6.738006e-04,2.324028e+00,3.620466e+02,0.000000e+00,1.339125e-01,1.000000e+00
1.475051e-07,3.900000e-01,1.133284e-04,6.738263e-04,2.324119e+00,3.620496e+02,0.000000e+00,1.340266e-01,1.000000e+00
