muB,pressure,epsilon,eos
708.0,2.087031e-06,0.0002144873,v0.00d1.80
710.1763527054109,2.7547015511022084e-06,0.00021859730581162327,v0.00d1.80
712.3527054108217,3.4223721022044173e-06,0.00022270731162324654,v0.00d1.80
714.5290581162325,4.097453611222458e-06,0.00022668566132264537,v0.00d1.80
716.7054108216432,4.795610148296583e-06,0.00023025408176352701,v0.00d1.80
718.8817635270541,5.493766685370735e-06,0.0002338225022044088,v0.00d1.80
721.058116232465,6.2047385971943875e-06,0.00023721650981963928,v0.00d1.80
723.2344689378758,6.9292540300601234e-06,0.00024042619478957918,v0.00d1.80
725.4108216432866,7.65376946292586e-06,0.00024363587975951908,v0.00d1.80
727.5871743486974,8.395910466933881e-06,0.0002466624048096193,v0.00d1.80
729.7635270541082,9.144594296593173e-06,0.0002496209386773547,v0.00d1.80
731.939879759519,9.893278126252497e-06,0.0002525794725450902,v0.00d1.80
734.1162324649299,1.066361418837675e-05,0.00025536200641282565,v0.00d1.80
736.2925851703407,1.1434565370741486e-05,0.0002581395402805611,v0.00d1.80
738.4689378757515,1.2209825310621249e-05,0.0002608885002004008,v0.00d1.80
740.6452905811624,1.3000773547094199e-05,0.0002635334216432866,v0.00d1.80
742.8216432865731,1.379172178356712e-05,0.0002661783430861723,v0.00d1.80
744.997995991984,1.4592849579158306e-05,0.0002687767412825651,v0.00d1.80
747.1743486973947,1.540599661322645e-05,0.0002713202084168337,v0.00d1.80
749.3507014028056,1.621914364729459e-05,0.0002738636755511022,v0.00d1.80
751.5270541082165,1.7044583466933874e-05,0.0002763564953907816,v0.00d1.80
753.7034068136272,1.787525014028057e-05,0.00027882778016032067,v0.00d1.80
755.8797595190381,1.870591681362724e-05,0.00028129906492985966,v0.00d1.80
758.0561122244488,1.955390623246492e-05,0.0002837189468937875,v0.00d1.80
760.2324649298597,2.0402908677354703e-05,0.00028613582284569135,v0.00d1.80
762.4088176352706,2.1255302945891784e-05,0.00028854527875751503,v0.00d1.80
764.5851703406813,2.2122361863727462e-05,0.00029092265390781564,v0.00d1.80
766.7615230460922,2.2989420781563137e-05,0.00029330002905811624,v0.00d1.80
768.937875751503,2.386475332665332e-05,0.0002956647116232465,v0.00d1.80
771.1142284569138,2.4751011302605194e-05,0.0002980126334669338,v0.00d1.80
773.2905811623248,2.5637269278557137e-05,0.0003003605553106213,v0.00d1.80
775.4669338677354,2.6532810501002e-05,0.00030269859979959916,v0.00d1.80
777.6432865731463,2.7432841162324613e-05,0.00030503186753507003,v0.00d1.80
779.8196392785571,2.83328718236473e-05,0.0003073651352705411,v0.00d1.80
781.9959919839679,2.92493927054108e-05,0.0003096884230460921,v0.00d1.80
784.1723446893789,3.0167403667334687e-05,0.0003120108090180361,v0.00d1.80
786.3486973947895,3.1088254188376745e-05,0.00031433297414829655,v0.00d1.80
788.5250501002005,3.2023987915831696e-05,0.00031665398176352716,v0.00d1.80
790.7014028056112,3.295972164328657e-05,0.00031897498937875755,v0.00d1.80
792.877755511022,3.390223164328654e-05,0.0003212937440881763,v0.00d1.80
795.054108216433,3.4854766813627266e-05,0.000323609165731463,v0.00d1.80
797.2304609218436,3.580730198396791e-05,0.0003259245873747495,v0.00d1.80
799.4068136272546,3.6770547695390805e-05,0.00032824622244488985,v0.00d1.80
801.5831663326653,3.773965216432865e-05,0.00033057125631262525,v0.00d1.80
803.7595190380761,3.8708756633266494e-05,0.00033289629018036065,v0.00d1.80
805.935871743487,3.969267052104209e-05,0.0003352301322645291,v0.00d1.80
808.1122244488977,4.0678424088176325e-05,0.0003375650685370741,v0.00d1.80
810.2885771543087,4.1666380460921865e-05,0.0003399016064128257,v0.00d1.80
812.4649298597194,4.2668746853707404e-05,0.0003422486214428858,v0.00d1.80
814.6412825651303,4.367111324649301e-05,0.000344595636472946,v0.00d1.80
816.8176352705411,4.467967595190381e-05,0.0003469496014028056,v0.00d1.80
818.9939879759518,4.569853547094185e-05,0.00034931511543086165,v0.00d1.80
821.1703406813627,4.671739498997997e-05,0.0003516806294589179,v0.00d1.80
823.3466933867735,4.7746509579158296e-05,0.00035405700681362715,v0.00d1.80
825.5230460921844,4.878194202404812e-05,0.0003564400767535071,v0.00d1.80
827.6993987975952,4.981737446893787e-05,0.0003588231466933867,v0.00d1.80
829.8757515030061,5.086718454909823e-05,0.00036122416132264534,v0.00d1.80
832.0521042084168,5.191929873747495e-05,0.0003636280517034068,v0.00d1.80
834.2284569138276,5.2973141963927826e-05,0.00036603437515030047,v0.00d1.80
836.4048096192384,5.404172751503007e-05,0.0003684614436873747,v0.00d1.80
838.5811623246493,5.5110313066132235e-05,0.00037088851222444883,v0.00d1.80
840.7575150300602,5.618472264529061e-05,0.0003733241785571143,v0.00d1.80
842.9338677354709,5.727004072144288e-05,0.0003757759486973948,v0.00d1.80
845.1102204408817,5.835535879759515e-05,0.0003782277188376753,v0.00d1.80
847.2865731462925,5.945064352705412e-05,0.00038069651462925845,v0.00d1.80
849.4629258517034,6.0552821082164295e-05,0.00038317708517034057,v0.00d1.80
851.6392785571143,6.165499863727456e-05,0.0003856576557114229,v0.00d1.80
853.815631262525,6.277103248496993e-05,0.00038815738116232455,v0.00d1.80
855.9919839679358,6.38898192384769e-05,0.00039066091222444873,v0.00d1.80
858.1683366733466,6.500992378757515e-05,0.0003931668897795591,v0.00d1.80
860.3446893787575,6.614574775551098e-05,0.0003957020505010019,v0.00d1.80
862.5210420841684,6.72815717234469e-05,0.00039823721122244493,v0.00d1.80
864.6973947895791,6.842283188376751e-05,0.00040078208897795583,v0.00d1.80
866.8737474949901,6.957562052104211e-05,0.0004033475735470943,v0.00d1.80
869.0501002004007,7.072840915831662e-05,0.00040591305811623246,v0.00d1.80
871.2264529058117,7.189080705410825e-05,0.00040849685771543096,v0.00d1.80
873.4028056112224,7.306064741482965e-05,0.0004110948424849699,v0.00d1.80
875.5791583166332,7.423048777555107e-05,0.0004136928272545089,v0.00d1.80
877.7555110220442,7.541395675350705e-05,0.00041631650100200406,v0.00d1.80
