p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02,0.000000e+00
1.095438e-15,3.000000e+01,5.768672e-07,7.532009e-12,9.210315e+02,0.000000e+00
1.199984e-15,3.000000e+01,6.298947e-07,8.224418e-12,9.211459e+02,0.000000e+00
1.314507e-15,3.000000e+01,6.879824e-07,8.982910e-12,9.212711e+02,0.000000e+00
1.439960e-15,3.000000e+01,7.516131e-07,9.813790e-12,9.214084e+02,0.000000e+00
1.577387e-15,3.000000e+01,8.213156e-07,1.072397e-11,9.215587e+02,0.000000e+00
1.727929e-15,3.000000e+01,8.976693e-07,1.172101e-11,9.217233e+02,0.000000e+00
1.892838e-15,3.000000e+01,9.813087e-07,1.281321e-11,9.219037e+02,0.000000e+00
2.073486e-15,3.000000e+01,1.072929e-06,1.400964e-11,9.221013e+02,0.000000e+00
2.271375e-15,3.000000e+01,1.173291e-06,1.532026e-11,9.223177e+02,0.000000e+00
2.488149e-15,3.000000e+01,1.283229e-06,1.675596e-11,9.225548e+02,0.000000e+00
2.725612e-15,3.000000e+01,1.403657e-06,1.832868e-11,9.228145e+02,0.000000e+00
2.985738e-15,3.000000e+01,1.535575e-06,2.005150e-11,9.230990e+02,0.000000e+00
3.270690e-15,3.000000e+01,1.680079e-06,2.193874e-11,9.234107e+02,0.000000e+00
3.582837e-15,3.000000e+01,1.838370e-06,2.400609e-11,9.237521e+02,0.000000e+00
3.924774e-15,3.000000e+01,2.011761e-06,2.627075e-11,9.241261e+02,0.000000e+00
4.299345e-15,3.000000e+01,2.201694e-06,2.875154e-11,9.245358e+02,0.000000e+00
4.709664e-15,3.000000e+01,2.409746e-06,3.146909e-11,9.249846e+02,0.000000e+00
5.159143e-15,3.000000e+01,2.487084e-06,3.247257e-11,9.250938e+02,0.000000e+00
5.651520e-15,3.000000e+01,2.524070e-06,3.295549e-11,9.250940e+02,0.000000e+00
6.190887e-15,3.000000e+01,2.564585e-06,3.348450e-11,9.250942e+02,0.000000e+00
6.781731e-15,3.000000e+01,2.608967e-06,3.406399e-11,9.250944e+02,0.000000e+00
7.428963e-15,3.000000e+01,2.657584e-06,3.469879e-11,9.250947e+02,0.000000e+00
8.137965e-15,3.000000e+01,2.710842e-06,3.539417e-11,9.250949e+02,0.000000e+00
8.914633e-15,3.000000e+01,2.769182e-06,3.615592e-11,9.250952e+02,0.000000e+00
9.765424e-15,3.000000e+01,2.833090e-06,3.699037e-11,9.250956e+02,0.000000e+00
1.069741e-14,3.000000e+01,2.903096e-06,3.790445e-11,9.250959e+02,0.000000e+00
1.171835e-14,3.000000e+01,2.979784e-06,3.890577e-11,9.250963e+02,0.000000e+00
1.283672e-14,3.000000e+01,3.063791e-06,4.000266e-11,9.250968e+02,0.000000e+00
1.406182e-14,3.000000e+01,3.155815e-06,4.120423e-11,9.250973e+02,0.000000e+00
1.540385e-14,3.000000e+01,3.256620e-06,4.252048e-11,9.250978e+02,0.000000e+00
1.687396e-14,3.000000e+01,3.367047e-06,4.396235e-11,9.250984e+02,0.000000e+00
1.848437e-14,3.000000e+01,3.488012e-06,4.554182e-11,9.250990e+02,0.000000e+00
2.024847e-14,3.000000e+01,3.620520e-06,4.727204e-11,9.250997e+02,0.000000e+00
2.218094e-14,3.000000e+01,3.765675e-06,4.916738e-11,9.251005e+02,0.000000e+00
2.429783e-14,3.000000e+01,3.924682e-06,5.124361e-11,9.251013e+02,0.000000e+00
2.661676e-14,3.000000e+01,4.098864e-06,5.351799e-11,9.251022e+02,0.000000e+00
2.915700e-14,3.000000e+01,4.289668e-06,5.600943e-11,9.251032e+02,0.000000e+00
3.193967e-14,3.000000e+01,4.498680e-06,5.873865e-11,9.251043e+02,0.000000e+00
3.498792e-14,3.000000e+01,4.727639e-06,6.172834e-11,9.251055e+02,0.000000e+00
3.832708e-14,3.000000e+01,4.978447e-06,6.500336e-11,9.251068e+02,0.000000e+00
4.198493e-14,3.000000e+01,5.253190e-06,6.859094e-11,9.251082e+02,0.000000e+00
4.599187e-14,3.000000e+01,5.554151e-06,7.252090e-11,9.251098e+02,0.000000e+00
5.038122e-14,3.000000e+01,5.883832e-06,7.682594e-11,9.251115e+02,0.000000e+00
5.518949e-14,3.000000e+01,6.244973e-06,8.154183e-11,9.251134e+02,0.000000e+00
6.045664e-14,3.000000e+01,6.640577e-06,8.670780e-11,9.251155e+02,0.000000e+00
6.622647e-14,3.000000e+01,7.073931e-06,9.236680e-11,9.251178e+02,0.000000e+00
7.254697e-14,3.000000e+01,7.548636e-06,9.856588e-11,9.251203e+02,0.000000e+00
7.947068e-14,3.000000e+01,8.068639e-06,1.053566e-10,9.251230e+02,0.000000e+00
8.705517e-14,3.000000e+01,8.638261e-06,1.127954e-10,9.251260e+02,0.000000e+00
9.536351e-14,3.000000e+01,9.262235e-06,1.209441e-10,9.251292e+02,0.000000e+00
1.044648e-13,3.000000e+01,9.945747e-06,1.298705e-10,9.251328e+02,0.000000e+00
1.144346e-13,3.000000e+01,1.069448e-05,1.396489e-10,9.251367e+02,0.000000e+00
1.253560e-13,3.000000e+01,1.151464e-05,1.503605e-10,9.251410e+02,0.000000e+00
1.373197e-13,3.000000e+01,1.241306e-05,1.620943e-10,9.251457e+02,0.000000e+00
1.504251e-13,3.000000e+01,1.339720e-05,1.749480e-10,9.251509e+02,0.000000e+00
1.647814e-13,3.000000e+01,1.447522e-05,1.890285e-10,9.251565e+02,0.000000e+00
