p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02,0.000000e+00
1.095785e-15,3.000000e+01,5.770436e-07,7.534313e-12,9.210319e+02,0.000000e+00
1.200746e-15,3.000000e+01,6.302813e-07,8.229467e-12,9.211467e+02,0.000000e+00
1.315760e-15,3.000000e+01,6.886178e-07,8.991207e-12,9.212725e+02,0.000000e+00
1.441790e-15,3.000000e+01,7.525412e-07,9.825910e-12,9.214104e+02,0.000000e+00
1.579893e-15,3.000000e+01,8.225867e-07,1.074057e-11,9.215614e+02,0.000000e+00
1.731224e-15,3.000000e+01,8.993405e-07,1.174283e-11,9.217269e+02,0.000000e+00
1.897050e-15,3.000000e+01,9.834448e-07,1.284110e-11,9.219083e+02,0.000000e+00
2.078760e-15,3.000000e+01,1.075603e-06,1.404457e-11,9.221070e+02,0.000000e+00
2.277875e-15,3.000000e+01,1.176588e-06,1.536331e-11,9.223248e+02,0.000000e+00
2.496062e-15,3.000000e+01,1.287242e-06,1.680837e-11,9.225635e+02,0.000000e+00
2.735149e-15,3.000000e+01,1.408494e-06,1.839184e-11,9.228250e+02,0.000000e+00
2.997136e-15,3.000000e+01,1.541356e-06,2.012699e-11,9.231115e+02,0.000000e+00
3.284218e-15,3.000000e+01,1.686940e-06,2.202834e-11,9.234255e+02,0.000000e+00
3.598799e-15,3.000000e+01,1.846464e-06,2.411181e-11,9.237696e+02,0.000000e+00
3.943511e-15,3.000000e+01,2.021263e-06,2.639485e-11,9.241466e+02,0.000000e+00
4.321242e-15,3.000000e+01,2.212798e-06,2.889657e-11,9.245597e+02,0.000000e+00
4.735155e-15,3.000000e+01,2.422671e-06,3.163792e-11,9.250124e+02,0.000000e+00
5.188714e-15,3.000000e+01,2.489306e-06,3.250157e-11,9.250938e+02,0.000000e+00
5.685717e-15,3.000000e+01,2.526639e-06,3.298903e-11,9.250940e+02,0.000000e+00
6.230326e-15,3.000000e+01,2.567548e-06,3.352318e-11,9.250942e+02,0.000000e+00
6.827101e-15,3.000000e+01,2.612375e-06,3.410849e-11,9.250944e+02,0.000000e+00
7.481038e-15,3.000000e+01,2.661496e-06,3.474986e-11,9.250947e+02,0.000000e+00
8.197613e-15,3.000000e+01,2.715322e-06,3.545267e-11,9.250950e+02,0.000000e+00
8.982825e-15,3.000000e+01,2.774304e-06,3.622280e-11,9.250953e+02,0.000000e+00
9.843250e-15,3.000000e+01,2.838935e-06,3.706670e-11,9.250956e+02,0.000000e+00
1.078609e-14,3.000000e+01,2.909757e-06,3.799142e-11,9.250960e+02,0.000000e+00
1.181924e-14,3.000000e+01,2.987363e-06,3.900473e-11,9.250964e+02,0.000000e+00
1.295135e-14,3.000000e+01,3.072401e-06,4.011509e-11,9.250968e+02,0.000000e+00
1.419190e-14,3.000000e+01,3.165585e-06,4.133181e-11,9.250973e+02,0.000000e+00
1.555128e-14,3.000000e+01,3.267695e-06,4.266508e-11,9.250979e+02,0.000000e+00
1.704087e-14,3.000000e+01,3.379584e-06,4.412605e-11,9.250984e+02,0.000000e+00
1.867314e-14,3.000000e+01,3.502191e-06,4.572696e-11,9.250991e+02,0.000000e+00
2.046175e-14,3.000000e+01,3.636541e-06,4.748122e-11,9.250998e+02,0.000000e+00
2.242169e-14,3.000000e+01,3.783759e-06,4.940351e-11,9.251006e+02,0.000000e+00
