p_c,R,M,e(pc),col2(pc)
1.323790e-07,2.000000e+01,2.894060e-08,3.056268e-13,9.198382e+02
1.458561e-07,2.000000e+01,3.502624e-03,5.014495e-05,9.461774e+02
1.607052e-07,2.000000e+01,3.513929e-03,5.197955e-05,9.464269e+02
1.770661e-07,2.000000e+01,5.230086e-03,5.400094e-05,9.467017e+02
1.950927e-07,2.000000e+01,7.719778e-03,5.622811e-05,9.470045e+02
2.149545e-07,2.000000e+01,1.071474e-02,5.868203e-05,9.473382e+02
2.368383e-07,2.000000e+01,1.412419e-02,6.138577e-05,9.477058e+02
2.609501e-07,2.000000e+01,1.792479e-02,6.388893e-05,9.480657e+02
2.875166e-07,2.000000e+01,2.219564e-02,6.629897e-05,9.484292e+02
3.167878e-07,2.000000e+01,2.691531e-02,6.895436e-05,9.488297e+02
3.490390e-07,2.000000e+01,3.205285e-02,7.188009e-05,9.492710e+02
3.845735e-07,2.000000e+01,3.758244e-02,7.492604e-05,9.497375e+02
4.237258e-07,2.000000e+01,4.359187e-02,7.778836e-05,9.501968e+02
4.668640e-07,2.000000e+01,5.009061e-02,8.094209e-05,9.507028e+02
5.143939e-07,2.000000e+01,5.704066e-02,8.441689e-05,9.512603e+02
5.667628e-07,2.000000e+01,6.446268e-02,8.775052e-05,9.518140e+02
6.244631e-07,2.000000e+01,7.243261e-02,9.130362e-05,9.524095e+02
6.880378e-07,2.000000e+01,8.090928e-02,9.521844e-05,9.530655e+02
7.580847e-07,2.000000e+01,8.991740e-02,9.902493e-05,9.537267e+02
8.352630e-07,2.000000e+01,9.950782e-02,1.031708e-04,9.544493e+02
9.202985e-07,2.000000e+01,1.096380e-01,1.075061e-04,9.552170e+02
1.013991e-06,2.000000e+01,1.203876e-01,1.119886e-04,9.560269e+02
1.117223e-06,2.000000e+01,1.317360e-01,1.167486e-04,9.568968e+02
1.230963e-06,2.000000e+01,1.437251e-01,1.215895e-04,9.578046e+02
1.356284e-06,2.000000e+01,1.563896e-01,1.266319e-04,9.587667e+02
1.494363e-06,2.000000e+01,1.698312e-01,1.317555e-04,9.597702e+02
1.646500e-06,2.000000e+01,1.840567e-01,1.370957e-04,9.608367e+02
1.814124e-06,2.000000e+01,1.991237e-01,1.427783e-04,9.619860e+02
1.998815e-06,2.000000e+01,2.149924e-01,1.486274e-04,9.631994e+02
