p_c,R,M,e(pc),col2(pc)
1.323790e-07,2.000000e+01,2.894060e-08,3.056268e-13,9.198382e+02
1.459125e-07,2.000000e+01,3.492406e-03,5.015191e-05,9.461784e+02
1.608295e-07,2.000000e+01,3.523359e-03,5.199491e-05,9.464290e+02
1.772716e-07,2.000000e+01,5.256206e-03,5.402632e-05,9.467052e+02
1.953945e-07,2.000000e+01,7.763998e-03,5.626540e-05,9.470096e+02
2.153703e-07,2.000000e+01,1.077881e-02,5.873340e-05,9.473452e+02
2.373882e-07,2.000000e+01,1.421057e-02,6.145371e-05,9.477150e+02
2.616571e-07,2.000000e+01,1.803792e-02,6.395307e-05,9.480754e+02
2.884070e-07,2.000000e+01,2.233935e-02,6.637974e-05,9.484414e+02
3.178917e-07,2.000000e+01,2.709254e-02,6.905450e-05,9.488448e+02
3.503906e-07,2.000000e+01,3.226598e-02,7.200270e-05,9.492895e+02
3.862120e-07,2.000000e+01,3.783549e-02,7.504583e-05,9.497568e+02
4.256956e-07,2.000000e+01,4.389184e-02,7.793237e-05,9.502199e+02
4.692156e-07,2.000000e+01,5.043989e-02,8.111401e-05,9.507304e+02
5.171849e-07,2.000000e+01,5.744092e-02,8.462093e-05,9.512930e+02
5.700581e-07,2.000000e+01,6.492358e-02,8.795344e-05,9.518480e+02
6.283368e-07,2.000000e+01,7.295959e-02,9.154215e-05,9.524495e+02
6.925734e-07,2.000000e+01,8.150182e-02,9.549774e-05,9.531123e+02
7.633772e-07,2.000000e+01,9.058675e-02,9.930923e-05,9.537763e+02
8.414194e-07,2.000000e+01,1.002551e-01,1.035015e-04,9.545070e+02
9.274400e-07,2.000000e+01,1.104728e-01,1.078478e-04,9.552788e+02
1.022255e-06,2.000000e+01,1.213143e-01,1.123839e-04,9.560984e+02
1.126763e-06,2.000000e+01,1.327508e-01,1.171546e-04,9.569730e+02
1.241955e-06,2.000000e+01,1.448591e-01,1.220573e-04,9.578923e+02
1.368924e-06,2.000000e+01,1.576402e-01,1.271009e-04,9.588586e+02
1.508872e-06,2.000000e+01,1.712118e-01,1.322939e-04,9.598757e+02
1.663129e-06,2.000000e+01,1.855775e-01,1.376633e-04,9.609512e+02
1.833155e-06,2.000000e+01,2.007800e-01,1.433810e-04,9.621110e+02
2.020564e-06,2.000000e+01,2.168151e-01,1.493161e-04,9.633423e+02
2.227132e-06,2.000000e+01,2.337446e-01,1.554017e-04,9.646142e+02
2.454817e-06,2.000000e+01,2.516156e-01,1.618034e-04,9.659685e+02
2.705780e-06,2.000000e+01,2.704499e-01,1.685274e-04,9.674183e+02
2.982400e-06,2.000000e+01,2.902873e-01,1.754857e-04,9.689590e+02
3.287299e-06,2.000000e+01,3.112459e-01,1.824027e-04,9.705711e+02
3.623369e-06,2.000000e+01,3.333970e-01,1.897736e-04,9.723174e+02
3.993796e-06,2.000000e+01,3.568298e-01,1.970340e-04,9.741268e+02
4.402093e-06,2.000000e+01,3.816623e-01,2.046825e-04,9.760738e+02
4.852132e-06,2.000000e+01,4.079902e-01,2.123521e-04,9.781195e+02
5.348179e-06,2.000000e+01,4.359220e-01,2.202584e-04,9.803094e+02
5.894938e-06,2.000000e+01,4.655961e-01,2.284079e-04,9.826545e+02
6.497594e-06,2.000000e+01,4.700635e-01,5.441447e-04,9.848486e+02
7.161861e-06,2.000000e+01,4.617381e-01,5.465930e-04,9.860603e+02
7.894039e-06,2.000000e+01,4.530478e-01,5.492916e-04,9.873958e+02
8.701068e-06,2.000000e+01,4.448484e-01,5.522660e-04,9.888678e+02
9.590603e-06,2.000000e+01,4.376451e-01,5.554870e-04,9.904781e+02
1.057108e-05,2.000000e+01,4.319057e-01,5.589198e-04,9.922282e+02
1.165179e-05,2.000000e+01,4.281579e-01,5.626966e-04,9.941557e+02
1.284298e-05,2.000000e+01,4.269629e-01,5.668115e-04,9.962686e+02
1.415596e-05,2.000000e+01,4.288639e-01,5.712341e-04,9.985704e+02
1.560316e-05,2.000000e+01,4.343848e-01,5.760767e-04,1.001099e+03
1.719832e-05,2.000000e+01,4.439849e-01,5.813063e-04,1.003854e+03
1.895655e-05,2.000000e+01,4.580583e-01,5.870042e-04,1.006871e+03
2.089453e-05,2.000000e+01,4.768870e-01,5.931725e-04,1.010156e+03
2.303064e-05,2.000000e+01,5.006769e-01,5.998964e-04,1.013750e+03
2.538512e-05,2.000000e+01,5.295412e-01,6.071756e-04,1.017656e+03
2.798032e-05,2.000000e+01,5.635351e-01,6.151011e-04,1.021918e+03
3.084082e-05,2.000000e+01,6.026423e-01,6.237229e-04,1.026560e+03
3.399377e-05,2.000000e+01,6.467989e-01,6.331224e-04,1.031605e+03
3.746905e-05,2.000000e+01,6.958968e-01,6.433357e-04,1.037080e+03
4.129961e-05,2.000000e+01,7.497599e-01,6.544716e-04,1.043025e+03
4.552179e-05,2.000000e+01,8.081637e-01,6.668191e-04,1.049551e+03
5.017561e-05,2.000000e+01,8.708453e-01,6.800345e-04,1.056453e+03
5.530520e-05,2.000000e+01,9.374173e-01,6.950096e-04,1.063993e+03
6.095921e-05,2.000000e+01,1.007356e+00,7.119463e-04,1.072139e+03
6.719124e-05,2.000000e+01,1.080125e+00,7.298766e-04,1.080923e+03
7.406039e-05,2.000000e+01,1.155301e+00,7.500556e-04,1.090369e+03
8.163179e-05,2.000000e+01,1.225454e+00,9.671923e-04,1.100494e+03
8.997724e-05,2.000000e+01,1.233840e+00,1.269319e-03,1.108647e+03
9.917587e-05,2.000000e+01,1.238102e+00,1.301941e-03,1.116070e+03
1.093149e-04,2.000000e+01,1.244906e+00,1.337267e-03,1.124034e+03
1.204905e-04,2.000000e+01,1.254624e+00,1.375632e-03,1.132608e+03
1.328085e-04,2.000000e+01,1.267361e+00,1.417233e-03,1.141804e+03
1.463859e-04,2.000000e+01,1.283064e+00,1.462373e-03,1.151666e+03
1.613514e-04,2.000000e+01,1.301565e+00,1.511320e-03,1.162217e+03
1.778468e-04,2.000000e+01,1.322609e+00,1.564429e-03,1.173498e+03
1.960286e-04,2.000000e+01,1.345860e+00,1.622063e-03,1.185547e+03
2.160691e-04,2.000000e+01,1.370933e+00,1.684623e-03,1.198398e+03
2.381585e-04,2.000000e+01,1.397398e+00,1.752555e-03,1.212087e+03
2.625061e-04,2.000000e+01,1.424819e+00,1.826319e-03,1.226638e+03
2.893428e-04,2.000000e+01,1.452734e+00,1.906515e-03,1.242112e+03
3.189232e-04,2.000000e+01,1.480712e+00,1.993686e-03,1.258515e+03
3.515276e-04,2.000000e+01,1.508308e+00,2.088543e-03,1.275904e+03
3.874652e-04,2.000000e+01,1.535137e+00,2.191824e-03,1.294311e+03
4.270769e-04,2.000000e+01,1.560830e+00,2.304365e-03,1.313775e+03
4.707382e-04,2.000000e+01,1.585063e+00,2.427060e-03,1.334311e+03
5.188630e-04,2.000000e+01,1.607551e+00,2.560982e-03,1.355984e+03
5.719079e-04,2.000000e+01,1.628058e+00,2.707239e-03,1.378798e+03
6.303756e-04,2.000000e+01,1.646382e+00,2.867133e-03,1.402804e+03
6.948207e-04,2.000000e+01,1.662374e+00,3.042082e-03,1.428034e+03
7.658542e-04,2.000000e+01,1.675950e+00,3.233657e-03,1.454503e+03
8.441496e-04,2.000000e+01,1.687016e+00,3.443641e-03,1.482265e+03
9.304494e-04,2.000000e+01,1.695545e+00,3.673980e-03,1.511327e+03
1.025572e-03,2.000000e+01,1.701528e+00,3.926858e-03,1.541728e+03
1.130419e-03,2.000000e+01,1.705018e+00,4.204698e-03,1.573487e+03
1.245985e-03,2.000000e+01,1.706057e+00,4.510199e-03,1.606637e+03
1.373365e-03,2.000000e+01,1.704737e+00,4.846339e-03,1.641196e+03
1.513768e-03,2.000000e+01,1.701147e+00,5.216446e-03,1.677192e+03
1.668525e-03,2.000000e+01,1.695487e+00,5.624193e-03,1.714645e+03
1.839103e-03,2.000000e+01,1.687735e+00,6.073661e-03,1.753572e+03
2.027120e-03,2.000000e+01,1.678145e+00,6.569368e-03,1.794000e+03
