p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
2.803534e-06,1.750000e+00,9.955515e-03,6.548229e-04,2.028095e+00,3.260000e+02,0.000000e+00,2.552007e-01,1.000000e+00
2.865948e-06,1.770000e+00,1.030077e-02,6.551172e-04,2.029031e+00,3.260387e+02,0.000000e+00,2.552007e-01,1.000000e+00
2.929751e-06,1.790000e+00,1.065394e-02,6.554180e-04,2.029988e+00,3.260782e+02,0.000000e+00,2.552007e-01,1.000000e+00
2.994975e-06,1.810000e+00,1.099990e-02,6.557255e-04,2.030967e+00,3.261186e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.061651e-06,1.825000e+00,1.129136e-02,6.560398e-04,2.031967e+00,3.261599e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.129811e-06,1.845000e+00,1.166682e-02,6.563612e-04,2.032989e+00,3.262021e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.199488e-06,1.865000e+00,1.205057e-02,6.566897e-04,2.034035e+00,3.262453e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.270717e-06,1.885000e+00,1.244272e-02,6.570255e-04,2.035103e+00,3.262894e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.343532e-06,1.905000e+00,1.284335e-02,6.573688e-04,2.036195e+00,3.263345e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.417967e-06,1.930000e+00,1.333880e-02,6.577197e-04,2.037312e+00,3.263806e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.494060e-06,1.950000e+00,1.377618e-02,6.580784e-04,2.038453e+00,3.264277e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.571847e-06,1.970000e+00,1.420507e-02,6.584452e-04,2.039620e+00,3.264759e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.651365e-06,1.990000e+00,1.464289e-02,6.588201e-04,2.040813e+00,3.265252e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.732654e-06,2.010000e+00,1.508972e-02,6.592033e-04,2.042032e+00,3.265755e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.815752e-06,2.035000e+00,1.564156e-02,6.595951e-04,2.043279e+00,3.266270e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.900701e-06,2.055000e+00,1.612827e-02,6.599956e-04,2.044553e+00,3.266796e+02,0.000000e+00,2.552007e-01,1.000000e+00
3.987540e-06,2.075000e+00,1.660510e-02,6.604050e-04,2.045856e+00,3.267334e+02,0.000000e+00,2.552007e-01,1.000000e+00
4.076313e-06,2.100000e+00,1.719351e-02,6.608235e-04,2.047188e+00,3.267884e+02,0.000000e+00,2.552007e-01,1.000000e+00
4.167062e-06,2.120000e+00,1.771222e-02,6.612513e-04,2.048549e+00,3.268446e+02,0.000000e+00,2.552007e-01,1.000000e+00
4.259832e-06,2.145000e+00,1.832669e-02,6.616887e-04,2.049941e+00,3.269021e+02,0.000000e+00,2.552007e-01,1.000000e+00
4.354666e-06,2.165000e+00,1.886820e-02,6.621358e-04,2.051363e+00,3.269608e+02,0.000000e+00,2.552007e-01,1.000000e+00
4.451613e-06,2.190000e+00,1.950937e-02,6.625929e-04,2.052817e+00,3.270209e+02,0.000000e+00,2.552007e-01,1.000000e+00
4.550717e-06,2.210000e+00,2.007426e-02,6.630601e-04,2.054304e+00,3.270822e+02,0.000000e+00,2.552007e-01,1.000000e+00
4.652027e-06,2.235000e+00,2.076596e-02,6.635377e-04,2.055824e+00,3.271450e+02,0.000000e+00,2.552007e-01,1.000000e+00
4.755593e-06,2.255000e+00,2.133160e-02,6.640260e-04,2.057377e+00,3.272091e+02,0.000000e+00,2.552007e-01,1.000000e+00
4.861465e-06,2.280000e+00,2.205222e-02,6.645252e-04,2.058965e+00,3.272747e+02,0.000000e+00,2.552007e-01,1.000000e+00
4.969694e-06,2.305000e+00,2.278917e-02,6.650354e-04,2.060589e+00,3.273418e+02,0.000000e+00,2.552007e-01,1.000000e+00
5.080332e-06,2.330000e+00,2.354264e-02,6.655570e-04,2.062249e+00,3.274103e+02,0.000000e+00,2.552007e-01,1.000000e+00
5.193433e-06,2.355000e+00,2.428709e-02,6.660902e-04,2.063945e+00,3.274804e+02,0.000000e+00,2.552007e-01,1.000000e+00
5.309052e-06,2.375000e+00,2.494249e-02,6.666353e-04,2.065680e+00,3.275520e+02,0.000000e+00,2.552007e-01,1.000000e+00
5.427245e-06,2.400000e+00,2.574346e-02,6.671926e-04,2.067453e+00,3.276252e+02,0.000000e+00,2.552007e-01,1.000000e+00
5.548069e-06,2.425000e+00,2.656176e-02,6.677622e-04,2.069265e+00,3.277000e+02,0.000000e+00,2.552007e-01,1.000000e+00
5.671584e-06,2.450000e+00,2.739762e-02,6.683445e-04,2.071118e+00,3.277765e+02,0.000000e+00,2.552007e-01,1.000000e+00
5.797848e-06,2.475000e+00,2.825124e-02,6.689398e-04,2.073012e+00,3.278547e+02,0.000000e+00,2.552007e-01,1.000000e+00
5.926923e-06,2.500000e+00,2.912285e-02,6.695483e-04,2.074948e+00,3.279347e+02,0.000000e+00,2.552007e-01,1.000000e+00
6.058871e-06,2.525000e+00,3.001268e-02,6.701623e-04,2.076904e+00,3.280161e+02,0.000000e+00,2.553306e-01,1.000000e+00
6.193757e-06,2.555000e+00,3.107217e-02,6.707568e-04,2.078807e+00,3.280981e+02,0.000000e+00,2.559917e-01,1.000000e+00
6.331646e-06,2.580000e+00,3.203299e-02,6.713645e-04,2.080753e+00,3.281820e+02,0.000000e+00,2.566675e-01,1.000000e+00
6.472604e-06,2.605000e+00,3.298242e-02,6.719858e-04,2.082741e+00,3.282677e+02,0.000000e+00,2.573583e-01,1.000000e+00
