p_c,R,M,e(pc),col2(pc)
1.369374e-04,1.180200e+01,2.531013e+00,6.774765e-04,1.236299e+03
1.495143e-04,1.181700e+01,2.612219e+00,7.022347e-04,1.255538e+03
1.632464e-04,1.182500e+01,2.689763e+00,7.293991e-04,1.275923e+03
1.782397e-04,1.182500e+01,2.763062e+00,7.595445e-04,1.297486e+03
1.946100e-04,1.181700e+01,2.831711e+00,7.918255e-04,1.320263e+03
2.124839e-04,1.180200e+01,2.895363e+00,8.273848e-04,1.344290e+03
2.319993e-04,1.177400e+01,2.928905e+00,1.113943e-03,1.366121e+03
2.533072e-04,1.172200e+01,2.940851e+00,1.158561e-03,1.387399e+03
2.765721e-04,1.165600e+01,2.948866e+00,1.206422e-03,1.409887e+03
3.019737e-04,1.157900e+01,2.954416e+00,1.257788e-03,1.433628e+03
3.297083e-04,1.149500e+01,2.958115e+00,1.312952e-03,1.458678e+03
3.599902e-04,1.140400e+01,2.960252e+00,1.372229e-03,1.485094e+03
3.930534e-04,1.130900e+01,2.960929e+00,1.435966e-03,1.512936e+03
4.291532e-04,1.121000e+01,2.960219e+00,1.504528e-03,1.542253e+03
4.685685e-04,1.110700e+01,2.958090e+00,1.578323e-03,1.573107e+03
5.116040e-04,1.100200e+01,2.954525e+00,1.657788e-03,1.605557e+03
5.585920e-04,1.089400e+01,2.949479e+00,1.743407e-03,1.639668e+03
6.098956e-04,1.078600e+01,2.942913e+00,1.835698e-03,1.675501e+03
6.659112e-04,1.067600e+01,2.934803e+00,1.935231e-03,1.713120e+03
7.270715e-04,1.056500e+01,2.925127e+00,2.042628e-03,1.752598e+03
7.938490e-04,1.045400e+01,2.913870e+00,2.158561e-03,1.794000e+03
