p_c,R(code units),M(Msun),e(pc),col2(pc)
1.377216e-12,3.000000e+01,1.053967e-04,1.378173e-09,9.256330e+02
1.509164e-12,3.000000e+01,1.152770e-04,1.507585e-09,9.256849e+02
1.653753e-12,3.000000e+01,1.261007e-04,1.649397e-09,9.257417e+02
1.812194e-12,3.000000e+01,1.379574e-04,1.804795e-09,9.258040e+02
1.985816e-12,3.000000e+01,1.509455e-04,1.975081e-09,9.258722e+02
2.176071e-12,3.000000e+01,1.651722e-04,2.161682e-09,9.259470e+02
2.384555e-12,3.000000e+01,1.807551e-04,2.366160e-09,9.260290e+02
2.613013e-12,3.000000e+01,1.978229e-04,2.590230e-09,9.261187e+02
2.863359e-12,3.000000e+01,2.165161e-04,2.835766e-09,9.262171e+02
3.137689e-12,3.000000e+01,2.369886e-04,3.104827e-09,9.263250e+02
3.438303e-12,3.000000e+01,2.594085e-04,3.399666e-09,9.264431e+02
3.767718e-12,3.000000e+01,2.839595e-04,3.722753e-09,9.265726e+02
4.128693e-12,3.000000e+01,3.108425e-04,4.076793e-09,9.267145e+02
4.524252e-12,3.000000e+01,3.401082e-04,4.461263e-09,9.268622e+02
4.957708e-12,3.000000e+01,3.705102e-04,4.862090e-09,9.269786e+02
5.432693e-12,3.000000e+01,4.037958e-04,5.301319e-09,9.271061e+02
5.953185e-12,3.000000e+01,4.402352e-04,5.782630e-09,9.272459e+02
6.523544e-12,3.000000e+01,4.801238e-04,6.310053e-09,9.273990e+02
7.148547e-12,3.000000e+01,5.237835e-04,6.888008e-09,9.275668e+02
7.833431e-12,3.000000e+01,5.715657e-04,7.521335e-09,9.277507e+02
8.583931e-12,3.000000e+01,6.238533e-04,8.215339e-09,9.279523e+02
9.406334e-12,3.000000e+01,6.810636e-04,8.975834e-09,9.281731e+02
1.030753e-11,3.000000e+01,7.436511e-04,9.809191e-09,9.284151e+02
1.129507e-11,3.000000e+01,8.090649e-04,1.065245e-08,9.286141e+02
1.237722e-11,3.000000e+01,8.659478e-04,1.140818e-08,9.286729e+02
1.356305e-11,3.000000e+01,9.282027e-04,1.223632e-08,9.287374e+02
1.486249e-11,3.000000e+01,9.963289e-04,1.314380e-08,9.288080e+02
1.628642e-11,3.000000e+01,1.070870e-03,1.413823e-08,9.288854e+02
1.784678e-11,3.000000e+01,1.152420e-03,1.522793e-08,9.289702e+02
1.955663e-11,3.000000e+01,1.241622e-03,1.642203e-08,9.290632e+02
2.143030e-11,3.000000e+01,1.339178e-03,1.773053e-08,9.291650e+02
2.348348e-11,3.000000e+01,1.445851e-03,1.916439e-08,9.292767e+02
2.573337e-11,3.000000e+01,1.562468e-03,2.073564e-08,9.293990e+02
2.819882e-11,3.000000e+01,1.689930e-03,2.245741e-08,9.295330e+02
3.090047e-11,3.000000e+01,1.829209e-03,2.434415e-08,9.296799e+02
3.386096e-11,3.000000e+01,1.981362e-03,2.641165e-08,9.298408e+02
3.710509e-11,3.000000e+01,2.147528e-03,2.867723e-08,9.300171e+02
4.066003e-11,3.000000e+01,2.328943e-03,3.115987e-08,9.302104e+02
4.455556e-11,3.000000e+01,2.523966e-03,3.365591e-08,9.303635e+02
4.882431e-11,3.000000e+01,2.693012e-03,3.592394e-08,9.304093e+02
5.350203e-11,3.000000e+01,2.875080e-03,3.840927e-08,9.304595e+02
5.862792e-11,3.000000e+01,3.073974e-03,4.113271e-08,9.305145e+02
6.424491e-11,3.000000e+01,3.291188e-03,4.411707e-08,9.305748e+02
7.040004e-11,3.000000e+01,3.528333e-03,4.738736e-08,9.306408e+02
7.714488e-11,3.000000e+01,3.787147e-03,5.097097e-08,9.307132e+02
8.453593e-11,3.000000e+01,4.069503e-03,5.489791e-08,9.307925e+02
9.263509e-11,3.000000e+01,4.377416e-03,5.920108e-08,9.308794e+02
1.015102e-10,3.000000e+01,4.713046e-03,6.391653e-08,9.309746e+02
1.112356e-10,3.000000e+01,5.078707e-03,6.908376e-08,9.310789e+02
1.218928e-10,3.000000e+01,5.476872e-03,7.474604e-08,9.311933e+02
1.335710e-10,3.000000e+01,5.910175e-03,8.095081e-08,9.313186e+02
1.463681e-10,3.000000e+01,6.381416e-03,8.775004e-08,9.314559e+02
1.603913e-10,3.000000e+01,6.893560e-03,9.520069e-08,9.316063e+02
1.757579e-10,3.000000e+01,7.449735e-03,1.033652e-07,9.317712e+02
1.925968e-10,3.000000e+01,8.053229e-03,1.123119e-07,9.319518e+02
2.110490e-10,3.000000e+01,8.707495e-03,1.216922e-07,9.321224e+02
2.312691e-10,3.000000e+01,9.381250e-03,1.305557e-07,9.322177e+02
2.534263e-10,3.000000e+01,1.003803e-02,1.402683e-07,9.323220e+02
2.777064e-10,3.000000e+01,1.074584e-02,1.509114e-07,9.324364e+02
3.043128e-10,3.000000e+01,1.151336e-02,1.625743e-07,9.325618e+02
3.334682e-10,3.000000e+01,1.234486e-02,1.753545e-07,9.326991e+02
3.654169e-10,3.000000e+01,1.324471e-02,1.893592e-07,9.328496e+02
4.004265e-10,3.000000e+01,1.421746e-02,2.047057e-07,9.330145e+02
4.387903e-10,3.000000e+01,1.526773e-02,2.215224e-07,9.331953e+02
4.808296e-10,3.000000e+01,1.640020e-02,2.399503e-07,9.333933e+02
5.268966e-10,3.000000e+01,1.761959e-02,2.601437e-07,9.336103e+02
5.773772e-10,3.000000e+01,1.893054e-02,2.822718e-07,9.338482e+02
6.326941e-10,3.000000e+01,2.028457e-02,3.413412e-07,9.339123e+02
6.933109e-10,3.000000e+01,2.183720e-02,4.067581e-07,9.339787e+02
7.597351e-10,3.000000e+01,2.358591e-02,4.784423e-07,9.340514e+02
8.325233e-10,3.000000e+01,2.544836e-02,5.569944e-07,9.341311e+02
9.122852e-10,3.000000e+01,2.735160e-02,6.430724e-07,9.342185e+02
9.996888e-10,3.000000e+01,2.924184e-02,7.373973e-07,9.343142e+02
1.095466e-09,3.000000e+01,3.108172e-02,8.407592e-07,9.344191e+02
1.200420e-09,3.000000e+01,3.284608e-02,9.540240e-07,9.345340e+02
1.315429e-09,3.000000e+01,3.451854e-02,1.078140e-06,9.346600e+02
1.441457e-09,3.000000e+01,3.608891e-02,1.214148e-06,9.347980e+02
1.579559e-09,3.000000e+01,3.755140e-02,1.363186e-06,9.349493e+02
1.730892e-09,3.000000e+01,3.890336e-02,1.526503e-06,9.351150e+02
1.896724e-09,3.000000e+01,4.014441e-02,1.705467e-06,9.352966e+02
2.078445e-09,3.000000e+01,4.127575e-02,1.901577e-06,9.354956e+02
2.277575e-09,3.000000e+01,4.230586e-02,2.104655e-06,9.356673e+02
2.495783e-09,3.000000e+01,4.327348e-02,2.314258e-06,9.358045e+02
2.734898e-09,3.000000e+01,4.417987e-02,2.543942e-06,9.359548e+02
2.996921e-09,3.000000e+01,4.501975e-02,2.795632e-06,9.361196e+02
3.284048e-09,3.000000e+01,4.578959e-02,3.071435e-06,9.363002e+02
3.598684e-09,3.000000e+01,4.648732e-02,3.373662e-06,9.364980e+02
3.943464e-09,3.000000e+01,4.711216e-02,3.704845e-06,9.367148e+02
4.321277e-09,3.000000e+01,4.766434e-02,4.067758e-06,9.369524e+02
4.735287e-09,3.000000e+01,4.814492e-02,4.465441e-06,9.372127e+02
5.188962e-09,3.000000e+01,4.855558e-02,4.901224e-06,9.374980e+02
5.686103e-09,3.000000e+01,4.889857e-02,5.378759e-06,9.378106e+02
6.230873e-09,3.000000e+01,4.917648e-02,5.902045e-06,9.381532e+02
6.827836e-09,3.000000e+01,4.939226e-02,6.475466e-06,9.385286e+02
7.481993e-09,3.000000e+01,4.954906e-02,7.103824e-06,9.389399e+02
8.198823e-09,3.000000e+01,4.965017e-02,7.792385e-06,9.393907e+02
8.984331e-09,3.000000e+01,4.969902e-02,8.546916e-06,9.398846e+02
9.845095e-09,3.000000e+01,4.969907e-02,9.373736e-06,9.404259e+02
1.078833e-08,3.000000e+01,4.965389e-02,1.022663e-05,9.409339e+02
1.182193e-08,3.000000e+01,4.957462e-02,1.100213e-05,9.412359e+02
1.295456e-08,3.000000e+01,4.947344e-02,1.185192e-05,9.415669e+02
1.419570e-08,3.000000e+01,4.935440e-02,1.278313e-05,9.419296e+02
1.555575e-08,3.000000e+01,4.921905e-02,1.380356e-05,9.423270e+02
1.704610e-08,3.000000e+01,4.906747e-02,1.475138e-05,9.426306e+02
1.867925e-08,3.000000e+01,4.890592e-02,1.543668e-05,9.426900e+02
2.046886e-08,3.000000e+01,4.875406e-02,1.618764e-05,9.427551e+02
2.242992e-08,3.000000e+01,4.862351e-02,1.701055e-05,9.428264e+02
2.457887e-08,3.000000e+01,4.852088e-02,1.791230e-05,9.429046e+02
2.693371e-08,3.000000e+01,4.844934e-02,1.890044e-05,9.429902e+02
