p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02,0.000000e+00
1.097959e-15,3.000000e+01,5.781459e-07,7.548705e-12,9.210343e+02,0.000000e+00
1.205513e-15,3.000000e+01,6.326993e-07,8.261040e-12,9.211519e+02,0.000000e+00
1.323603e-15,3.000000e+01,6.925961e-07,9.043154e-12,9.212811e+02,0.000000e+00
1.453262e-15,3.000000e+01,7.583594e-07,9.901883e-12,9.214229e+02,0.000000e+00
1.595621e-15,3.000000e+01,8.305639e-07,1.084473e-11,9.215786e+02,0.000000e+00
1.751926e-15,3.000000e+01,9.098402e-07,1.187994e-11,9.217496e+02,0.000000e+00
1.923542e-15,3.000000e+01,9.968810e-07,1.301656e-11,9.219373e+02,0.000000e+00
2.111969e-15,3.000000e+01,1.092446e-06,1.426452e-11,9.221434e+02,0.000000e+00
2.318855e-15,3.000000e+01,1.197371e-06,1.563472e-11,9.223696e+02,0.000000e+00
2.546007e-15,3.000000e+01,1.312572e-06,1.713915e-11,9.226181e+02,0.000000e+00
2.795410e-15,3.000000e+01,1.439054e-06,1.879095e-11,9.228909e+02,0.000000e+00
3.069244e-15,3.000000e+01,1.577923e-06,2.060456e-11,9.231904e+02,0.000000e+00
3.369903e-15,3.000000e+01,1.730391e-06,2.259583e-11,9.235192e+02,0.000000e+00
3.700014e-15,3.000000e+01,1.897789e-06,2.478216e-11,9.238803e+02,0.000000e+00
4.062462e-15,3.000000e+01,2.081579e-06,2.718266e-11,9.242767e+02,0.000000e+00
4.460415e-15,3.000000e+01,2.283366e-06,2.981831e-11,9.247120e+02,0.000000e+00
4.897351e-15,3.000000e+01,2.467420e-06,3.221581e-11,9.250937e+02,0.000000e+00
5.377088e-15,3.000000e+01,2.503456e-06,3.268633e-11,9.250939e+02,0.000000e+00
5.903820e-15,3.000000e+01,2.543022e-06,3.320294e-11,9.250941e+02,0.000000e+00
6.482150e-15,3.000000e+01,2.586464e-06,3.377016e-11,9.250943e+02,0.000000e+00
