p_c,R,M,e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
6.521454e-08,2.908000e-01,6.249775e-05,6.067111e-04,2.577900e+00,3.620000e+02,0.000000e+00,1.321237e-01,1.000000e+00
7.226876e-08,3.061000e-01,7.287038e-05,6.067449e-04,2.578041e+00,3.620043e+02,0.000000e+00,1.322868e-01,1.000000e+00
8.008604e-08,3.222000e-01,8.498933e-05,6.067823e-04,2.578197e+00,3.620090e+02,0.000000e+00,1.324676e-01,1.000000e+00
8.874891e-08,3.392000e-01,9.914756e-05,6.068238e-04,2.578369e+00,3.620142e+02,0.000000e+00,1.326679e-01,1.000000e+00
9.834884e-08,3.570000e-01,1.156257e-04,6.068697e-04,2.578561e+00,3.620200e+02,0.000000e+00,1.328899e-01,1.000000e+00
1.089872e-07,3.758000e-01,1.348759e-04,6.069207e-04,2.578773e+00,3.620264e+02,0.000000e+00,1.331359e-01,1.000000e+00
1.207763e-07,3.956000e-01,1.573323e-04,6.069771e-04,2.579008e+00,3.620335e+02,0.000000e+00,1.334085e-01,1.000000e+00
1.338406e-07,4.164000e-01,1.834941e-04,6.070397e-04,2.579268e+00,3.620414e+02,0.000000e+00,1.337106e-01,1.000000e+00
1.483181e-07,4.383000e-01,2.140123e-04,6.071090e-04,2.579557e+00,3.620501e+02,0.000000e+00,1.340454e-01,1.000000e+00
1.643615e-07,4.613000e-01,2.495142e-04,6.071858e-04,2.579877e+00,3.620598e+02,0.000000e+00,1.344164e-01,1.000000e+00
1.821405e-07,4.856000e-01,2.909888e-04,6.072709e-04,2.580231e+00,3.620705e+02,0.000000e+00,1.348275e-01,1.000000e+00
2.018425e-07,5.111000e-01,3.393456e-04,6.073652e-04,2.580624e+00,3.620823e+02,0.000000e+00,1.352831e-01,1.000000e+00
2.236757e-07,5.380000e-01,3.957420e-04,6.074698e-04,2.581059e+00,3.620955e+02,0.000000e+00,1.357880e-01,1.000000e+00
2.478706e-07,5.662000e-01,4.613951e-04,6.075856e-04,2.581541e+00,3.621101e+02,0.000000e+00,1.363475e-01,1.000000e+00
2.746826e-07,5.959000e-01,5.379712e-04,6.077140e-04,2.582076e+00,3.621262e+02,0.000000e+00,1.369675e-01,1.000000e+00
3.043949e-07,6.272000e-01,6.273874e-04,6.078562e-04,2.582668e+00,3.621441e+02,0.000000e+00,1.376546e-01,1.000000e+00
3.373212e-07,6.600000e-01,7.310978e-04,6.080139e-04,2.583324e+00,3.621640e+02,0.000000e+00,1.384160e-01,1.000000e+00
3.738090e-07,6.947000e-01,8.522815e-04,6.081886e-04,2.584052e+00,3.621860e+02,0.000000e+00,1.392598e-01,1.000000e+00
4.142438e-07,7.306000e-01,9.918116e-04,6.083822e-04,2.584858e+00,3.622104e+02,0.000000e+00,1.401948e-01,1.000000e+00
4.590523e-07,7.689000e-01,1.156192e-03,6.085967e-04,2.585751e+00,3.622374e+02,0.000000e+00,1.412310e-01,1.000000e+00
5.087078e-07,8.091000e-01,1.347691e-03,6.088345e-04,2.586741e+00,3.622673e+02,0.000000e+00,1.423792e-01,1.000000e+00
5.637345e-07,8.514000e-01,1.570410e-03,6.090979e-04,2.587837e+00,3.623004e+02,0.000000e+00,1.436517e-01,1.000000e+00
6.247133e-07,8.959000e-01,1.829850e-03,6.093899e-04,2.589053e+00,3.623372e+02,0.000000e+00,1.450618e-01,1.000000e+00
6.922883e-07,9.426000e-01,2.131897e-03,6.097134e-04,2.590400e+00,3.623779e+02,0.000000e+00,1.466245e-01,1.000000e+00
7.671728e-07,9.917000e-01,2.483261e-03,6.100719e-04,2.591893e+00,3.624231e+02,0.000000e+00,1.483561e-01,1.000000e+00
8.501575e-07,1.043300e+00,2.892145e-03,6.104692e-04,2.593547e+00,3.624731e+02,0.000000e+00,1.502751e-01,1.000000e+00
9.421186e-07,1.097500e+00,3.367679e-03,6.109095e-04,2.595380e+00,3.625285e+02,0.000000e+00,1.524017e-01,1.000000e+00
1.044027e-06,1.154500e+00,3.920639e-03,6.113975e-04,2.597411e+00,3.625899e+02,0.000000e+00,1.547583e-01,1.000000e+00
1.156959e-06,1.214200e+00,4.563297e-03,6.119382e-04,2.599662e+00,3.626580e+02,0.000000e+00,1.573698e-01,1.000000e+00
1.282107e-06,1.277000e+00,5.309998e-03,6.125373e-04,2.602157e+00,3.627334e+02,0.000000e+00,1.602637e-01,1.000000e+00
1.420792e-06,1.342800e+00,6.177029e-03,6.132013e-04,2.604921e+00,3.628170e+02,0.000000e+00,1.634708e-01,1.000000e+00
1.574478e-06,1.411900e+00,7.183526e-03,6.139371e-04,2.607985e+00,3.629096e+02,0.000000e+00,1.670247e-01,1.000000e+00
1.744788e-06,1.484300e+00,8.351135e-03,6.147526e-04,2.611380e+00,3.630122e+02,0.000000e+00,1.709630e-01,1.000000e+00
1.933521e-06,1.560200e+00,9.704932e-03,6.156562e-04,2.615142e+00,3.631260e+02,0.000000e+00,1.753274e-01,1.000000e+00
2.142669e-06,1.639800e+00,1.127358e-02,6.166575e-04,2.619311e+00,3.632520e+02,0.000000e+00,1.801639e-01,1.000000e+00
2.374441e-06,1.723000e+00,1.308985e-02,6.177672e-04,2.623931e+00,3.633917e+02,0.000000e+00,1.855235e-01,1.000000e+00
2.631283e-06,1.810200e+00,1.519118e-02,6.189969e-04,2.629050e+00,3.635465e+02,0.000000e+00,1.914628e-01,1.000000e+00
2.915907e-06,1.901400e+00,1.762020e-02,6.203596e-04,2.634724e+00,3.637180e+02,0.000000e+00,1.980446e-01,1.000000e+00
3.231320e-06,1.996800e+00,2.042530e-02,6.218698e-04,2.641011e+00,3.639081e+02,0.000000e+00,2.053384e-01,1.000000e+00
3.580850e-06,2.096300e+00,2.366171e-02,6.234747e-04,2.647676e+00,3.641159e+02,0.000000e+00,2.098123e-01,1.000000e+00
