p_c,R,M,e(pc),col2(pc),col3(pc),col4(pc),col5(pc),col6(pc)
7.621903e-07,2.030400e+00,1.036384e-02,2.956000e-04,1.749613e+00,2.600000e+02,0.000000e+00,2.061713e-01,1.000000e+00
8.264204e-07,2.113200e+00,1.168356e-02,2.959115e-04,1.751391e+00,2.600567e+02,0.000000e+00,2.061713e-01,1.000000e+00
8.960632e-07,2.199000e+00,1.316535e-02,2.962493e-04,1.753320e+00,2.601182e+02,0.000000e+00,2.061713e-01,1.000000e+00
9.715748e-07,2.287800e+00,1.482844e-02,2.966156e-04,1.755411e+00,2.601849e+02,0.000000e+00,2.061713e-01,1.000000e+00
1.053450e-06,2.380000e+00,1.669528e-02,2.970127e-04,1.757679e+00,2.602573e+02,0.000000e+00,2.061713e-01,1.000000e+00
1.142224e-06,2.475400e+00,1.878927e-02,2.974433e-04,1.760137e+00,2.603357e+02,0.000000e+00,2.061713e-01,1.000000e+00
1.238480e-06,2.574200e+00,2.113680e-02,2.979102e-04,1.762803e+00,2.604207e+02,0.000000e+00,2.061713e-01,1.000000e+00
1.342847e-06,2.676700e+00,2.376903e-02,2.984164e-04,1.765693e+00,2.605129e+02,0.000000e+00,2.061713e-01,1.000000e+00
1.456010e-06,2.782600e+00,2.671693e-02,2.989652e-04,1.768827e+00,2.606128e+02,0.000000e+00,2.061713e-01,1.000000e+00
1.578708e-06,2.892300e+00,3.001723e-02,2.995604e-04,1.772224e+00,2.607212e+02,0.000000e+00,2.061713e-01,1.000000e+00
1.711747e-06,3.005800e+00,3.370972e-02,3.002056e-04,1.775909e+00,2.608387e+02,0.000000e+00,2.061713e-01,1.000000e+00
1.855996e-06,3.123100e+00,3.783801e-02,3.009053e-04,1.779903e+00,2.609661e+02,0.000000e+00,2.061713e-01,1.000000e+00
2.012402e-06,3.244400e+00,4.245002e-02,3.016639e-04,1.784235e+00,2.611042e+02,0.000000e+00,2.061713e-01,1.000000e+00
2.181988e-06,3.369600e+00,4.759825e-02,3.024864e-04,1.788931e+00,2.612540e+02,0.000000e+00,2.061713e-01,1.000000e+00
2.365865e-06,3.498900e+00,5.333959e-02,3.033783e-04,1.794023e+00,2.614164e+02,0.000000e+00,2.061713e-01,1.000000e+00
2.565237e-06,3.632200e+00,5.973652e-02,3.043453e-04,1.799544e+00,2.615925e+02,0.000000e+00,2.061713e-01,1.000000e+00
2.781411e-06,3.769700e+00,6.685642e-02,3.053938e-04,1.805530e+00,2.617835e+02,0.000000e+00,2.061713e-01,1.000000e+00
3.015801e-06,3.911200e+00,7.477222e-02,3.065307e-04,1.812021e+00,2.619905e+02,0.000000e+00,2.061713e-01,1.000000e+00
3.269944e-06,4.057000e+00,8.356958e-02,3.076079e-04,1.818132e+00,2.622081e+02,0.000000e+00,2.094264e-01,1.000000e+00
3.545504e-06,4.207200e+00,9.334236e-02,3.087683e-04,1.824712e+00,2.624437e+02,0.000000e+00,2.131122e-01,1.000000e+00
3.844285e-06,4.361700e+00,1.041839e-01,3.100266e-04,1.831848e+00,2.626992e+02,0.000000e+00,2.171087e-01,1.000000e+00
4.168244e-06,4.520500e+00,1.161930e-01,3.113909e-04,1.839584e+00,2.629762e+02,0.000000e+00,2.214419e-01,1.000000e+00
4.519504e-06,4.683500e+00,1.294754e-01,3.128701e-04,1.847972e+00,2.632765e+02,0.000000e+00,2.261403e-01,1.000000e+00
4.900364e-06,4.850700e+00,1.441420e-01,3.144740e-04,1.857068e+00,2.636021e+02,0.000000e+00,2.312346e-01,1.000000e+00
5.313320e-06,5.021900e+00,1.603097e-01,3.162131e-04,1.866930e+00,2.639552e+02,0.000000e+00,2.367582e-01,1.000000e+00
5.761075e-06,5.197100e+00,1.781139e-01,3.179270e-04,1.876593e+00,2.643286e+02,0.000000e+00,2.419453e-01,1.000000e+00
6.246564e-06,5.376400e+00,1.977046e-01,3.197606e-04,1.886923e+00,2.647320e+02,0.000000e+00,2.474543e-01,1.000000e+00
6.772964e-06,5.559600e+00,2.192158e-01,3.217487e-04,1.898124e+00,2.651694e+02,0.000000e+00,2.534276e-01,1.000000e+00
7.343724e-06,5.746400e+00,2.427842e-01,3.239044e-04,1.910269e+00,2.656437e+02,0.000000e+00,2.599042e-01,1.000000e+00
7.962583e-06,5.936700e+00,2.685503e-01,3.261832e-04,1.923083e+00,2.661539e+02,0.000000e+00,2.665812e-01,1.000000e+00
8.633593e-06,6.130400e+00,2.966925e-01,3.285105e-04,1.936111e+00,2.666972e+02,0.000000e+00,2.729754e-01,1.000000e+00
9.361150e-06,6.327300e+00,3.273652e-01,3.310340e-04,1.950237e+00,2.672863e+02,0.000000e+00,2.799085e-01,1.000000e+00
1.015002e-05,6.527000e+00,3.607019e-01,3.337702e-04,1.965554e+00,2.679250e+02,0.000000e+00,2.874259e-01,1.000000e+00
1.100536e-05,6.729300e+00,3.968643e-01,3.365606e-04,1.981085e+00,2.686031e+02,0.000000e+00,2.945202e-01,1.000000e+00
1.193279e-05,6.934000e+00,4.360190e-01,3.395628e-04,1.997784e+00,2.693364e+02,0.000000e+00,3.020732e-01,1.000000e+00
1.293837e-05,7.140600e+00,4.782834e-01,3.427887e-04,2.015707e+00,2.701287e+02,0.000000e+00,3.100535e-01,1.000000e+00
1.402869e-05,7.348900e+00,5.238111e-01,3.461260e-04,2.034143e+00,2.709719e+02,0.000000e+00,3.175632e-01,1.000000e+00
1.521090e-05,7.558500e+00,5.727166e-01,3.497444e-04,2.054132e+00,2.718863e+02,0.000000e+00,3.257057e-01,1.000000e+00
1.649273e-05,7.768800e+00,6.250995e-01,3.535136e-04,2.074848e+00,2.728595e+02,0.000000e+00,3.332400e-01,1.000000e+00
1.788257e-05,7.979500e+00,6.810560e-01,3.575787e-04,2.097176e+00,2.739122e+02,0.000000e+00,3.412273e-01,1.000000e+00
1.938955e-05,8.190100e+00,7.406461e-01,3.618308e-04,2.120385e+00,2.750323e+02,0.000000e+00,3.489134e-01,1.000000e+00
2.102351e-05,8.400100e+00,8.038977e-01,3.663992e-04,2.145275e+00,2.762404e+02,0.000000e+00,3.568187e-01,1.000000e+00
2.279517e-05,8.609000e+00,8.708326e-01,3.712330e-04,2.171475e+00,2.775314e+02,0.000000e+00,3.639319e-01,1.000000e+00
2.471613e-05,8.816100e+00,9.414094e-01,3.763802e-04,2.199253e+00,2.789137e+02,0.000000e+00,3.711518e-01,1.000000e+00
