p_c,R(code units),M(Msun),e(pc),col2(pc),col3(pc)
1.000000e-15,3.000000e+01,5.284591e-07,6.899924e-12,9.209271e+02,0.000000e+00
1.095563e-15,3.000000e+01,5.769310e-07,7.532842e-12,9.210317e+02,0.000000e+00
1.200259e-15,3.000000e+01,6.300344e-07,8.226243e-12,9.211462e+02,0.000000e+00
1.314960e-15,3.000000e+01,6.882120e-07,8.985909e-12,9.212716e+02,0.000000e+00
1.440622e-15,3.000000e+01,7.519485e-07,9.818170e-12,9.214091e+02,0.000000e+00
1.578293e-15,3.000000e+01,8.217749e-07,1.072997e-11,9.215597e+02,0.000000e+00
1.729119e-15,3.000000e+01,8.982731e-07,1.172889e-11,9.217246e+02,0.000000e+00
1.894360e-15,3.000000e+01,9.820804e-07,1.282328e-11,9.219053e+02,0.000000e+00
2.075391e-15,3.000000e+01,1.073895e-06,1.402226e-11,9.221034e+02,0.000000e+00
2.273723e-15,3.000000e+01,1.174482e-06,1.533581e-11,9.223203e+02,0.000000e+00
2.491007e-15,3.000000e+01,1.284679e-06,1.677489e-11,9.225579e+02,0.000000e+00
2.729056e-15,3.000000e+01,1.405404e-06,1.835149e-11,9.228183e+02,0.000000e+00
2.989854e-15,3.000000e+01,1.537663e-06,2.007876e-11,9.231035e+02,0.000000e+00
3.275575e-15,3.000000e+01,1.682556e-06,2.197109e-11,9.234160e+02,0.000000e+00
3.588600e-15,3.000000e+01,1.841292e-06,2.404426e-11,9.237584e+02,0.000000e+00
3.931538e-15,3.000000e+01,2.015191e-06,2.631555e-11,9.241335e+02,0.000000e+00
4.307249e-15,3.000000e+01,2.205702e-06,2.880389e-11,9.245444e+02,0.000000e+00
4.718865e-15,3.000000e+01,2.414411e-06,3.153002e-11,9.249946e+02,0.000000e+00
5.169815e-15,3.000000e+01,2.487886e-06,3.248304e-11,9.250938e+02,0.000000e+00
5.663860e-15,3.000000e+01,2.524997e-06,3.296759e-11,9.250940e+02,0.000000e+00
6.205118e-15,3.000000e+01,2.565654e-06,3.349845e-11,9.250942e+02,0.000000e+00
6.798099e-15,3.000000e+01,2.610197e-06,3.408004e-11,9.250944e+02,0.000000e+00
7.447749e-15,3.000000e+01,2.658996e-06,3.471721e-11,9.250947e+02,0.000000e+00
8.159481e-15,3.000000e+01,2.712458e-06,3.541527e-11,9.250949e+02,0.000000e+00
8.939228e-15,3.000000e+01,2.771029e-06,3.618004e-11,9.250953e+02,0.000000e+00
9.793491e-15,3.000000e+01,2.835198e-06,3.701789e-11,9.250956e+02,0.000000e+00
1.072939e-14,3.000000e+01,2.905498e-06,3.793581e-11,9.250960e+02,0.000000e+00
1.175473e-14,3.000000e+01,2.982517e-06,3.894145e-11,9.250964e+02,0.000000e+00
1.287805e-14,3.000000e+01,3.066895e-06,4.004320e-11,9.250968e+02,0.000000e+00
1.410872e-14,3.000000e+01,3.159337e-06,4.125022e-11,9.250973e+02,0.000000e+00
1.545699e-14,3.000000e+01,3.260612e-06,4.257260e-11,9.250978e+02,0.000000e+00
1.693412e-14,3.000000e+01,3.371565e-06,4.402135e-11,9.250984e+02,0.000000e+00
1.855240e-14,3.000000e+01,3.493121e-06,4.560854e-11,9.250990e+02,0.000000e+00
2.032533e-14,3.000000e+01,3.626293e-06,4.734741e-11,9.250997e+02,0.000000e+00
2.226768e-14,3.000000e+01,3.772191e-06,4.925246e-11,9.251005e+02,0.000000e+00
2.439566e-14,3.000000e+01,3.932030e-06,5.133955e-11,9.251013e+02,0.000000e+00
2.672699e-14,3.000000e+01,4.107143e-06,5.362610e-11,9.251022e+02,0.000000e+00
2.928111e-14,3.000000e+01,4.298990e-06,5.613116e-11,9.251033e+02,0.000000e+00
3.207931e-14,3.000000e+01,4.509168e-06,5.887560e-11,9.251044e+02,0.000000e+00
3.514492e-14,3.000000e+01,4.739431e-06,6.188232e-11,9.251056e+02,0.000000e+00
3.850348e-14,3.000000e+01,4.991697e-06,6.517637e-11,9.251069e+02,0.000000e+00
4.218301e-14,3.000000e+01,5.268068e-06,6.878521e-11,9.251083e+02,0.000000e+00
4.621416e-14,3.000000e+01,5.570847e-06,7.273892e-11,9.251099e+02,0.000000e+00
5.063054e-14,3.000000e+01,5.902558e-06,7.707046e-11,9.251116e+02,0.000000e+00
5.546896e-14,3.000000e+01,6.265964e-06,8.181594e-11,9.251135e+02,0.000000e+00
6.076976e-14,3.000000e+01,6.664095e-06,8.701491e-11,9.251156e+02,0.000000e+00
6.657712e-14,3.000000e+01,7.100267e-06,9.271072e-11,9.251179e+02,0.000000e+00
7.293946e-14,3.000000e+01,7.578114e-06,9.895083e-11,9.251204e+02,0.000000e+00
7.990980e-14,3.000000e+01,8.101619e-06,1.057873e-10,9.251231e+02,0.000000e+00
8.754625e-14,3.000000e+01,8.675142e-06,1.132770e-10,9.251262e+02,0.000000e+00
9.591246e-14,3.000000e+01,9.303462e-06,1.214825e-10,9.251294e+02,0.000000e+00
1.050782e-13,3.000000e+01,9.991814e-06,1.304722e-10,9.251330e+02,0.000000e+00
1.151198e-13,3.000000e+01,1.074593e-05,1.403209e-10,9.251370e+02,0.000000e+00
1.261210e-13,3.000000e+01,1.157209e-05,1.511108e-10,9.251413e+02,0.000000e+00
1.381736e-13,3.000000e+01,1.247719e-05,1.629318e-10,9.251460e+02,0.000000e+00
1.513779e-13,3.000000e+01,1.346874e-05,1.758825e-10,9.251512e+02,0.000000e+00
1.658441e-13,3.000000e+01,1.455503e-05,1.900708e-10,9.251569e+02,0.000000e+00
1.816927e-13,3.000000e+01,1.574508e-05,2.056150e-10,9.251632e+02,0.000000e+00
1.990559e-13,3.000000e+01,1.704881e-05,2.226446e-10,9.251700e+02,0.000000e+00
2.180783e-13,3.000000e+01,1.847707e-05,2.413016e-10,9.251775e+02,0.000000e+00
2.389186e-13,3.000000e+01,2.004175e-05,2.617416e-10,9.251856e+02,0.000000e+00
2.617505e-13,3.000000e+01,2.175588e-05,2.841348e-10,9.251946e+02,0.000000e+00
2.867643e-13,3.000000e+01,2.363372e-05,3.086681e-10,9.252045e+02,0.000000e+00
3.141684e-13,3.000000e+01,2.569089e-05,3.355458e-10,9.252152e+02,0.000000e+00
3.441914e-13,3.000000e+01,2.794451e-05,3.649921e-10,9.252270e+02,0.000000e+00
3.770835e-13,3.000000e+01,3.041332e-05,3.972523e-10,9.252399e+02,0.000000e+00
4.131189e-13,3.000000e+01,3.311786e-05,4.325954e-10,9.252541e+02,0.000000e+00
4.525979e-13,3.000000e+01,3.608061e-05,4.713161e-10,9.252696e+02,0.000000e+00
4.958497e-13,3.000000e+01,3.932620e-05,5.137370e-10,9.252866e+02,0.000000e+00
5.432347e-13,3.000000e+01,4.288159e-05,5.602118e-10,9.253053e+02,0.000000e+00
5.951481e-13,3.000000e+01,4.677633e-05,6.111279e-10,9.253257e+02,0.000000e+00
6.520224e-13,3.000000e+01,5.104275e-05,6.669097e-10,9.253480e+02,0.000000e+00
7.143319e-13,3.000000e+01,5.571628e-05,7.280222e-10,9.253725e+02,0.000000e+00
7.825959e-13,3.000000e+01,6.083570e-05,7.949748e-10,9.253993e+02,0.000000e+00
8.573833e-13,3.000000e+01,6.644348e-05,8.683256e-10,9.254287e+02,0.000000e+00
9.393178e-13,3.000000e+01,7.258609e-05,9.486861e-10,9.254609e+02,0.000000e+00
1.029082e-12,3.000000e+01,7.931446e-05,1.036726e-09,9.254962e+02,0.000000e+00
1.127425e-12,3.000000e+01,8.668430e-05,1.133179e-09,9.255349e+02,0.000000e+00
1.235165e-12,3.000000e+01,9.475661e-05,1.238850e-09,9.255772e+02,0.000000e+00
1.353202e-12,3.000000e+01,1.035982e-04,1.354619e-09,9.256236e+02,0.000000e+00
1.482518e-12,3.000000e+01,1.132820e-04,1.481452e-09,9.256744e+02,0.000000e+00
1.624193e-12,3.000000e+01,1.238882e-04,1.620405e-09,9.257301e+02,0.000000e+00
1.779406e-12,3.000000e+01,1.355041e-04,1.772636e-09,9.257911e+02,0.000000e+00
1.949452e-12,3.000000e+01,1.482256e-04,1.939416e-09,9.258579e+02,0.000000e+00
2.135748e-12,3.000000e+01,1.621574e-04,2.122133e-09,9.259312e+02,0.000000e+00
2.339847e-12,3.000000e+01,1.774141e-04,2.322312e-09,9.260114e+02,0.000000e+00
2.563451e-12,3.000000e+01,1.941209e-04,2.541620e-09,9.260993e+02,0.000000e+00
2.808423e-12,3.000000e+01,2.124150e-04,2.781886e-09,9.261956e+02,0.000000e+00
3.076806e-12,3.000000e+01,2.324461e-04,3.045113e-09,9.263010e+02,0.000000e+00
3.370835e-12,3.000000e+01,2.543780e-04,3.333494e-09,9.264166e+02,0.000000e+00
3.692964e-12,3.000000e+01,2.783897e-04,3.649435e-09,9.265432e+02,0.000000e+00
4.045876e-12,3.000000e+01,3.046767e-04,3.995567e-09,9.266819e+02,0.000000e+00
4.432513e-12,3.000000e+01,3.334526e-04,4.374778e-09,9.268339e+02,0.000000e+00
4.856099e-12,3.000000e+01,3.633858e-04,4.768130e-09,9.269513e+02,0.000000e+00
5.320164e-12,3.000000e+01,3.959128e-04,5.197261e-09,9.270759e+02,0.000000e+00
5.828577e-12,3.000000e+01,4.315148e-04,5.667402e-09,9.272124e+02,0.000000e+00
6.385576e-12,3.000000e+01,4.704789e-04,6.182471e-09,9.273620e+02,0.000000e+00
6.995803e-12,3.000000e+01,5.131184e-04,6.746762e-09,9.275258e+02,0.000000e+00
7.664345e-12,3.000000e+01,5.597750e-04,7.364978e-09,9.277053e+02,0.000000e+00
8.396776e-12,3.000000e+01,6.108212e-04,8.042273e-09,9.279020e+02,0.000000e+00
9.199200e-12,3.000000e+01,6.666629e-04,8.784293e-09,9.281175e+02,0.000000e+00
1.007831e-11,3.000000e+01,7.277420e-04,9.597222e-09,9.283535e+02,0.000000e+00
1.104142e-11,3.000000e+01,7.944928e-04,1.047531e-08,9.286003e+02,0.000000e+00
1.209658e-11,3.000000e+01,8.512026e-04,1.121220e-08,9.286577e+02,0.000000e+00
1.325257e-11,3.000000e+01,9.119108e-04,1.201950e-08,9.287205e+02,0.000000e+00
1.451903e-11,3.000000e+01,9.783319e-04,1.290395e-08,9.287893e+02,0.000000e+00
1.590652e-11,3.000000e+01,1.050994e-03,1.387292e-08,9.288648e+02,0.000000e+00
1.742660e-11,3.000000e+01,1.130473e-03,1.493449e-08,9.289474e+02,0.000000e+00
1.909194e-11,3.000000e+01,1.217396e-03,1.609750e-08,9.290379e+02,0.000000e+00
2.091643e-11,3.000000e+01,1.312442e-03,1.737166e-08,9.291371e+02,0.000000e+00
2.291527e-11,3.000000e+01,1.416354e-03,1.876758e-08,9.292458e+02,0.000000e+00
2.510514e-11,3.000000e+01,1.529934e-03,2.029690e-08,9.293648e+02,0.000000e+00
